Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Indian River County, Florida",151563,*****,129043,3395,11560,2324,459,522,1978,596,0,221,3617,3275,4906,2604,0,221,4906,2604
"Lake County, Florida",335396,*****,283513,1902,35729,1990,1217,788,6718,1137,27,52,1418,854,6774,1780,480,501,6294,1617
"Lee County, Florida",722336,*****,615028,5571,60475,2202,1457,705,11131,1020,129,210,20665,5515,13451,2962,2934,1229,10517,2561
"Leon County, Florida",287822,*****,177676,1244,88212,2392,521,413,10203,677,256,416,2971,1114,7983,2497,365,244,7618,2524
"Manatee County, Florida",375888,*****,320089,3004,33480,1304,1015,447,7143,696,206,219,7070,2782,6885,2047,1959,1186,4926,1596
"Marion County, Florida",349020,*****,286955,2818,44143,2686,194,150,4308,1219,122,218,1951,1003,11347,2681,2437,1804,8910,2154
"Martin County, Florida",158701,*****,139122,2441,9164,1315,965,554,1252,787,179,300,5813,2145,2206,1091,343,414,1863,940
"Miami-Dade County, Florida",2712945,*****,2019915,12858,476506,6925,4683,1830,43745,1559,1265,959,124482,12759,42349,5382,13703,3201,28646,4668
"Monroe County, Florida",79077,*****,70409,1017,6581,901,117,147,1156,139,0,221,518,474,296,229,23,39,273,230
"Okaloosa County, Florida",201170,*****,155446,1507,20398,1321,590,406,5770,942,327,368,8785,2075,9854,1683,245,233,9609,1665
"Orange County, Florida",1314367,*****,851713,11633,276302,8711,1697,911,70844,2690,50,80,67741,9642,46020,6761,13450,3686,32570,5599
"Osceola County, Florida",336015,*****,248442,8362,40387,5419,739,554,9588,398,142,233,23289,6602,13428,4677,4240,3043,9188,3281
"Palm Beach County, Florida",1443810,*****,1079513,5517,266755,4481,1811,834,38391,1645,536,322,26821,4774,29983,4973,5262,1893,24721,4824
"Pasco County, Florida",512368,*****,452055,2575,28037,2031,1337,734,12829,947,190,145,6111,1840,11809,2013,1657,792,10152,1752
"Pinellas County, Florida",960730,*****,784811,4261,97341,3354,3117,635,33027,1508,820,226,15140,3811,26474,4452,2765,1261,23709,4256
"Polk County, Florida",666149,*****,525140,3410,100793,2724,1818,743,12565,1059,306,353,9710,2052,15817,3231,2906,1220,12911,3000
"St. Johns County, Florida",235087,*****,208208,1540,12331,1226,854,988,6363,925,695,917,1850,1251,4786,1613,594,544,4192,1487
"St. Lucie County, Florida",306507,*****,227646,3323,59949,2357,1345,1078,6005,565,0,221,5409,2844,6153,2541,1479,1460,4674,1972
"Santa Rosa County, Florida",170497,*****,146607,1628,10669,1260,1460,676,3459,990,506,439,772,519,7024,2156,68,136,6956,2155
"Sarasota County, Florida",412569,*****,375600,2830,17710,1713,1005,697,6544,630,22,44,4215,2525,7473,1857,509,435,6964,1835
"Seminole County, Florida",455479,*****,354325,4150,51494,3423,449,463,19098,1482,343,209,13835,3336,15935,3445,2083,1266,13852,3209
"Sumter County, Florida",123996,*****,110567,857,8261,1168,26,58,558,486,238,391,1268,764,3078,1341,632,535,2446,1108
"Volusia County, Florida",529364,*****,441448,3204,55747,3582,2528,858,9730,961,64,77,7275,2211,12572,3052,1129,510,11443,2948
"Walton County, Florida",65889,*****,57530,1670,3771,395,216,259,631,490,0,221,1955,1706,1786,672,120,189,1666,643
"Barrow County, Georgia",77126,*****,60355,1376,8123,864,337,475,2902,193,0,218,3247,1388,2162,848,595,508,1567,676
"Bartow County, Georgia",103807,*****,87069,2648,10634,1059,438,278,890,468,0,218,2691,2630,2085,1236,1038,1174,1047,645
"Bibb County, Georgia",152760,*****,61273,1188,82574,1787,98,112,3089,242,0,218,1592,1263,4134,2053,247,346,3887,1997
"Bulloch County, Georgia",74722,*****,48483,685,21840,1135,0,218,852,627,0,218,1553,855,1994,875,226,296,1768,861
"Carroll County, Georgia",116261,*****,87176,1873,21088,1321,121,250,1122,374,384,388,3996,1878,2374,1428,222,261,2152,1381
"Chatham County, Georgia",289082,*****,151815,1964,114139,2297,650,346,6369,1412,558,606,4208,1702,11343,2807,1183,569,10160,2767
"Cherokee County, Georgia",241689,*****,207452,3406,16701,1833,1120,1300,5002,564,0,218,6793,3209,4621,1542,390,528,4231,1467
"Clarke County, Georgia",124707,*****,78919,1907,34893,601,181,284,5209,558,33,60,3137,1903,2335,879,168,248,2167,810
"Clayton County, Georgia",279462,*****,43114,3578,190956,5061,926,1161,14614,350,0,218,21285,4748,8567,3675,910,686,7657,3495
