Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Tangipahoa Parish, Louisiana",130710,87647,37463,481,730,0,577,3812,153,3659
"Terrebonne Parish, Louisiana",113220,79883,22901,6376,571,0,1450,2039,50,1989
"Androscoggin County, Maine",107319,98905,3453,204,1165,0,44,3548,0,3548
"Aroostook County, Maine",67959,64534,904,850,292,13,84,1282,0,1282
"Cumberland County, Maine",292041,268659,8502,996,6084,0,661,7139,300,6839
"Kennebec County, Maine",120569,115205,1336,607,1313,183,218,1707,154,1553
"Penobscot County, Maine",151806,143639,811,1940,1404,0,338,3674,53,3621
"York County, Maine",202343,193838,2494,68,4274,0,146,1523,0,1523
"Allegany County, Maryland",72130,63802,6374,150,619,27,64,1094,120,974
"Anne Arundel County, Maryland",568346,416095,91607,1034,20626,53,13384,25547,2123,23424
"Baltimore County, Maryland",831026,512637,238123,2431,49490,579,6408,21358,2102,19256
"Calvert County, Maryland",91251,73623,11839,0,1709,0,1064,3016,283,2733
"Carroll County, Maryland",167656,153931,5631,407,3078,104,555,3950,1345,2605
"Cecil County, Maryland",102603,89580,7411,0,1512,34,1789,2277,51,2226
"Charles County, Maryland",157705,71927,71324,246,4466,0,1100,8642,190,8452
"Frederick County, Maryland",247591,200808,25712,1172,11679,58,2201,5961,728,5233
"Harford County, Maryland",251032,198064,33432,476,5848,78,2935,10199,1390,8809
"Howard County, Maryland",317233,186168,58167,405,57006,56,2907,12524,698,11826
"Montgomery County, Maryland",1043863,574964,191046,2053,154518,239,77581,43462,6244,37218
"Prince George's County, Maryland",908049,159377,571454,3802,38290,287,106267,28572,4433,24139
"Washington County, Maryland",150292,126158,16125,228,2009,253,313,5206,241,4965
"Wicomico County, Maryland",102577,69068,26015,30,3530,108,933,2893,146,2747
"Baltimore city, Maryland",614664,189260,384465,1800,15149,604,9016,14370,976,13394
"Barnstable County, Massachusetts",214276,196365,5175,914,2951,1034,2794,5043,1318,3725
"Berkshire County, Massachusetts",126903,116668,3428,260,2049,67,1200,3231,419,2812
"Bristol County, Massachusetts",558324,469087,23337,105,13414,305,38545,13531,3723,9808
"Essex County, Massachusetts",779018,635443,30824,1362,26984,366,63750,20289,2610,17679
"Franklin County, Massachusetts",70382,65664,692,262,710,293,583,2178,220,1958
"Hampden County, Massachusetts",468467,388013,40874,1009,10440,0,14956,13175,2762,10413
"Hampshire County, Massachusetts",161816,143231,3958,72,7242,265,1101,5947,1150,4797
"Middlesex County, Massachusetts",1589774,1220690,86605,2454,187448,517,52376,39684,5242,34442
"Norfolk County, Massachusetts",697181,546568,45901,843,74523,215,12800,16331,1211,15120
"Plymouth County, Massachusetts",513565,430007,45757,688,6215,152,20248,10498,2186,8312
"Suffolk County, Massachusetts",784230,432065,179093,2715,68847,252,42262,58996,4458,54538
"Worcester County, Massachusetts",819589,683124,39855,1532,39751,292,33956,21079,4594,16485
"Allegan County, Michigan",115548,108703,1445,307,417,0,1013,3663,872,2791
"Bay County, Michigan",104747,99068,2410,241,309,0,630,2089,144,1945
"Berrien County, Michigan",154010,120388,22043,413,2977,16,2443,5730,945,4785
"Calhoun County, Michigan",134386,110181,14071,539,2622,0,848,6125,84,6041
"Clinton County, Michigan",77888,73219,1298,204,1540,0,119,1508,68,1440
"Eaton County, Michigan",109160,95114,6008,572,2049,178,1071,4168,351,3817
"Genesee County, Michigan",408615,304971,81377,1737,4111,305,2400,13714,680,13034
"Grand Traverse County, Michigan",92084,87400,903,888,488,98,333,1974,81,1893
"Ingham County, Michigan",288051,213921,33628,993,19021,187,5347,14954,1537,13417
"Isabella County, Michigan",71282,62681,1517,1337,1392,0,424,3931,82,3849
"Jackson County, Michigan",158460,138283,13482,676,1260,116,810,3833,321,3512
