,Geography,Total; Estimate; All households,Mean income (dollars); Estimate; All households,Total; Estimate; All households - With earnings,Mean income (dollars); Estimate; All households - With earnings,"Total; Estimate; All households - With interest, dividends, or net rental income","Mean income (dollars); Estimate; All households - With interest, dividends, or net rental income",Total; Estimate; All households - With Social Security income,Mean income (dollars); Estimate; All households - With Social Security income,Total; Estimate; All households - With Supplemental Security Income (SSI),Mean income (dollars); Estimate; All households - With Supplemental Security Income (SSI),Total; Estimate; All households - With cash public assistance income,Mean income (dollars); Estimate; All households - With cash public assistance income,Total; Estimate; All households - With retirement income,Mean income (dollars); Estimate; All households - With retirement income,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Mean income (dollars); Estimate; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Mean income (dollars); Estimate; White alone, not Hispanic or Latino",Total; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Individual income in the past 12 months
36,"Craighead County, Arkansas",39813,64488,79.3,63352,19.7,13981,31.1,16854,6.8,9024,1.7,3138,19.7,18143,25087,78362,8.5,59784,41.4,64898,31.5,110539,13.0,48903,3.8,99504,1.8,79464,105835,25491,79.5,26512,14.4,25012,0.0,N,1.3,N,0.0,N,2.3,13499,2.5,3720,4.9,11705,76.7,27112,30.5,29.3,26.0
37,"Faulkner County, Arkansas",43964,65068,76.6,68065,18.9,11630,31.0,15745,4.9,8901,1.8,1244,16.0,22962,28857,78250,15.1,49574,36.0,54534,35.0,111577,4.6,50806,8.5,105518,0.7,96623,122227,24526,82.1,25827,10.4,18794,0.2,N,1.1,28900,0.6,N,2.3,6415,3.2,9831,4.0,6238,80.8,26114,28.3,30.0,24.3
38,"Garland County, Arkansas",39309,56172,68.5,55241,25.2,16315,43.7,18197,5.4,8994,1.7,N,20.6,20814,22555,70107,22.0,54910,29.6,49469,33.1,92362,7.1,68502,4.6,120299,3.6,66362,97477,24263,86.4,26155,8.7,12168,1.0,N,1.1,N,0.0,N,1.4,24274,1.5,N,5.4,13544,82.4,26936,31.6,32.3,24.9
39,"Jefferson County, Arkansas",26750,51502,67.6,55948,10.7,8027,38.1,16857,9.3,11981,12.8,2508,18.2,20852,16440,62777,18.3,30969,48.1,57021,23.7,89488,4.6,59043,3.1,108651,2.2,108890,70016,20521,40.7,27390,57.4,15374,0.1,N,0.4,N,0.0,N,0.6,N,0.8,14324,2.0,21797,39.3,27440,36.8,36.8,33.6
40,"Lonoke County, Arkansas",26327,64569,78.6,64686,11.7,15747,32.5,16837,7.4,10392,0.9,N,18.0,20922,19259,73265,15.2,39131,33.4,62932,32.5,96038,10.1,71218,7.0,94363,1.7,70656,72228,24910,88.5,25874,5.4,14160,0.4,N,1.4,21099,0.0,N,1.8,21359,2.5,17433,4.4,22962,86.1,25945,35.5,34.0,28.9
41,"Pulaski County, Arkansas",161291,72387,76.0,76012,16.7,20548,31.8,17455,7.8,8344,1.3,2356,14.8,24549,98087,89617,15.5,47390,39.2,73313,29.1,132017,9.1,67934,5.9,137695,1.2,67236,393250,30403,55.5,39376,36.2,17712,0.2,27825,2.2,52762,0.0,N,2.3,18193,3.5,13840,6.1,14012,52.6,40570,34.5,34.9,28.2
42,"Saline County, Arkansas",43371,75347,76.2,75331,21.1,13726,38.0,19753,4.9,8688,2.3,1952,20.9,23545,30706,89068,15.5,56112,26.7,69679,38.8,107642,8.3,80063,9.3,131242,1.5,84563,118703,28718,89.9,29235,7.1,24815,0.7,N,1.0,23055,0.0,N,0.0,N,1.3,15883,4.5,14165,85.4,30006,34.3,34.5,29.1
43,"Sebastian County, Arkansas",51055,56346,73.6,55655,17.4,21941,35.1,18413,8.2,7446,2.0,2817,18.5,18160,32409,66147,16.2,39059,34.6,56590,26.4,83948,12.9,67888,7.1,107465,2.8,60702,127793,22780,72.9,26510,6.8,14006,1.5,14918,4.3,19203,0.1,N,10.9,8823,3.6,13746,13.9,9711,70.2,27074,43.8,43.6,33.4
44,"Washington County, Arkansas",88690,64869,80.5,66197,16.1,16856,25.1,17671,5.0,7864,0.7,2373,11.7,26298,51980,82996,13.6,44628,33.2,68370,34.3,108454,11.5,57683,6.5,139814,1.0,136705,228049,25702,76.5,29105,3.8,13153,1.0,20492,2.4,19278,2.2,9044,11.2,12430,3.1,22937,16.4,11989,71.9,30350,21.5,23.8,19.4
45,"White County, Arkansas",28221,54969,72.6,58841,16.6,8286,34.4,17401,4.8,10994,1.2,1546,19.6,17299,19571,65763,17.2,38004,37.2,48602,33.4,97085,8.9,59761,3.2,104169,0.0,-,79263,21251,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,27.9,28.8,21.5
46,"Alameda County, California",572012,117667,83.3,119709,32.1,20683,24.2,18417,5.8,9773,3.2,3979,15.3,32005,383396,134797,9.8,60924,31.4,107340,34.6,179784,10.8,104734,9.4,170272,4.1,139705,1647704,42376,41.8,52295,10.6,32630,0.6,25936,29.4,43415,0.8,26853,10.4,21593,6.4,26447,22.5,23455,31.9,60354,30.2,30.4,24.4
47,"Butte County, California",85531,65703,68.8,68225,22.9,14710,37.1,18460,8.4,9910,4.3,4353,22.5,24449,50528,82166,22.7,43051,33.3,67154,27.9,120345,8.4,73431,5.9,151317,1.7,75520,226864,25938,82.8,28350,1.6,11917,1.1,19265,4.7,15073,0.4,25120,4.2,14782,5.2,12147,16.0,17327,72.4,29732,34.1,33.4,29.0
48,"Contra Costa County, California",391288,122204,81.7,121933,30.6,23602,28.6,20332,6.2,9928,2.7,4322,19.6,37304,284811,137599,11.9,81621,32.6,114074,31.4,183450,11.0,114683,9.2,173004,3.8,117587,1135127,43120,58.0,50592,8.6,32012,0.3,37238,16.2,44321,0.4,25076,9.2,21395,7.3,22682,25.4,22619,44.3,58642,38.1,37.8,29.9
49,"El Dorado County, California",69653,100639,74.2,100049,28.5,21633,36.2,20439,6.6,10645,2.7,3108,24.9,40954,48840,118310,19.5,73139,35.3,100797,28.2,160859,8.3,115087,7.8,158440,0.8,135259,185625,39284,87.5,40219,1.0,28703,1.3,25070,4.8,44124,0.2,N,2.0,17130,3.1,27786,12.8,25754,77.7,41753,33.7,31.9,27.8
50,"Fresno County, California",303216,68967,77.9,69958,15.9,19244,27.3,16712,8.7,9367,8.0,3957,15.4,28008,219660,75526,16.2,38073,35.9,58621,24.0,110012,11.3,67024,8.8,125930,3.8,85478,979915,22518,65.4,24962,4.9,18629,1.0,18437,10.4,22928,0.1,21998,14.7,13469,3.5,20189,52.8,14896,29.9,36146,39.8,40.8,30.8
51,"Humboldt County, California",54230,64617,71.2,62531,28.1,21147,34.5,16543,9.7,9090,3.8,3778,20.2,27305,28646,72428,18.9,56373,37.5,60121,25.5,95861,10.4,65141,6.2,110441,1.5,78034,136646,26990,81.1,26907,0.9,9601,5.3,11247,3.1,13792,0.0,N,2.3,14727,7.4,N,11.3,15446,74.2,27847,35.5,36.5,29.7
52,"Imperial County, California",44855,63208,73.1,67274,9.1,17012,39.4,15582,8.8,8507,8.6,4102,17.0,23716,34950,71098,20.0,33671,29.5,58678,23.0,92902,11.7,94142,10.0,104963,5.8,71742,180883,17180,61.3,19375,2.3,20506,1.0,20159,1.5,22859,0.2,N,30.1,12505,3.6,11632,83.8,15259,11.1,30482,45.8,45.5,30.3
53,"Kern County, California",270359,67594,78.3,69556,11.2,16516,26.4,16646,7.0,8890,6.3,4536,14.7,29576,197797,73198,16.1,35085,35.1,54081,26.3,108387,10.8,70520,7.5,115821,4.3,89902,884788,21313,72.6,22750,5.4,15815,1.3,11629,4.6,30575,0.4,N,12.1,14898,3.7,15041,52.8,14180,34.6,32067,33.3,32.6,24.1
54,"Kings County, California",43090,67901,82.8,64451,13.2,28493,24.8,15725,6.4,10251,4.4,3360,17.0,27935,33611,71195,12.7,46544,35.2,55681,28.8,87842,11.6,67325,9.1,118340,2.7,69102,149785,20471,66.6,22878,6.7,17643,1.4,16979,3.5,30547,0.3,39085,17.1,11915,4.4,13445,54.2,14124,32.6,29980,44.0,43.5,30.0
55,"Lake County, California",24593,60536,55.1,65896,23.9,21833,50.7,18230,11.5,7546,3.2,2874,27.3,24691,14230,72920,N,N,N,N,N,N,N,N,N,N,N,N,64116,25347,76.9,26955,1.4,N,4.4,37324,0.5,N,0.0,N,13.4,12435,3.4,29498,20.0,16668,71.1,27094,39.5,44.3,38.3
56,"Los Angeles County, California",3305589,89718,82.4,90377,18.2,28624,25.1,17037,7.0,9686,3.7,4224,12.0,32063,2196331,99604,11.0,51536,33.7,76066,25.4,145825,14.1,82026,9.1,139100,6.7,105040,10137915,30824,50.2,37605,8.2,27494,0.6,20042,14.5,33875,0.3,21440,22.3,16620,3.9,22536,48.5,17989,26.3,54101,38.1,39.6,29.3
57,"Madera County, California",44369,67604,74.3,63809,15.7,21321,33.4,17869,7.4,9378,6.2,3444,19.6,42386,34099,71500,18.5,48236,33.9,52788,21.2,93749,10.7,61448,12.0,110924,3.7,132281,154697,20987,70.9,23895,2.9,10414,2.1,15284,1.8,22595,0.2,N,18.2,12978,3.9,15779,57.4,13958,34.7,33472,36.1,37.0,26.7
58,"Marin County, California",106333,160053,79.7,153036,42.7,52090,33.3,21001,3.9,11282,1.4,5103,17.1,37962,65569,197523,12.0,111320,29.8,206271,39.0,232878,9.4,122419,8.4,218130,1.5,151799,260651,65958,76.9,76728,2.3,23107,0.1,33550,5.3,64697,0.2,N,9.8,16175,5.4,24719,16.0,24120,71.1,79949,35.1,35.1,29.7
59,"Mendocino County, California",35439,65838,71.2,59423,23.2,20396,36.1,16566,8.8,10339,5.8,5312,17.1,55895,20857,64707,20.5,50275,38.1,50384,25.9,79036,5.8,37325,7.2,146911,2.6,77743,87628,27813,81.3,30603,0.5,N,3.6,17936,1.3,29704,0.3,N,6.7,17880,6.4,9024,25.0,15125,65.2,34404,33.1,37.8,27.4
60,"Merced County, California",77713,70672,78.2,70861,15.3,20300,27.2,16579,9.2,9908,8.6,5450,17.9,23266,60046,75822,16.4,37704,38.5,63009,21.8,112810,11.4,66646,7.7,113137,4.2,106115,268672,21882,55.6,27196,3.2,23130,0.9,13836,7.9,18264,0.0,N,29.0,13848,3.4,13009,58.9,14637,28.2,38337,42.4,42.9,30.6
61,"Monterey County, California",125740,88289,81.8,84261,20.3,32984,29.2,18066,4.4,8762,1.6,5567,15.3,34120,90571,96461,11.4,66016,31.7,83092,28.0,122872,11.2,71710,11.1,137468,6.5,73918,435232,27146,55.8,33874,2.5,23963,0.4,29873,5.7,38618,0.2,38457,31.0,13983,4.2,20522,58.3,16410,30.0,46149,29.9,28.5,23.3
62,"Napa County, California",49561,106368,77.0,107889,29.3,25967,35.0,18900,7.0,11666,1.2,6130,22.4,30682,32419,122909,14.1,73889,24.5,109529,36.4,154598,9.4,78566,10.0,153716,5.6,118491,142166,39030,78.0,41944,1.9,26837,0.8,51228,7.9,40139,0.2,22049,7.3,19647,3.8,18428,33.9,21885,52.8,50975,35.8,35.8,31.7
63,"Nevada County, California",38708,85575,67.7,82250,34.5,31028,46.4,19169,5.5,8423,2.9,3996,29.5,27636,24711,106191,22.4,82632,31.3,91216,31.8,134801,5.7,87121,6.7,134963,2.1,108626,99107,35039,92.5,35288,0.2,N,0.5,17462,1.8,68148,0.0,N,1.4,19940,3.6,22459,9.5,23879,85.3,36336,33.3,31.8,29.5
64,"Orange County, California",1032218,113420,82.8,113763,24.8,27964,26.3,20008,4.7,9617,2.1,4103,15.4,33020,743944,125640,11.3,68528,30.0,111121,30.5,158062,11.9,107260,10.4,159582,5.9,118071,3172532,38247,62.6,42724,1.7,34134,0.4,35112,20.1,39076,0.3,27260,11.1,17087,3.7,24926,34.3,21164,41.0,53058,38.3,38.1,30.6
65,"Placer County, California",139104,110245,74.5,113677,26.6,27581,33.8,21362,3.7,12470,2.4,5621,23.2,36944,94315,129050,17.0,73126,30.5,106815,35.0,167542,7.9,122278,8.2,172199,1.4,115430,380531,41745,81.4,43544,1.5,33915,0.6,25739,6.9,45104,0.1,N,4.0,19575,5.4,29485,13.8,27850,73.1,44751,30.7,30.6,23.6
66,"Riverside County, California",715040,79354,77.3,79329,16.3,26987,32.0,18518,5.6,9665,3.2,3840,18.6,29020,518670,87789,14.9,53467,35.2,68256,24.7,119429,11.0,81578,9.0,136676,5.1,96732,2387741,25505,58.9,29321,6.4,25220,0.9,18372,6.2,30129,0.3,23998,22.8,15956,4.5,19428,48.4,16847,36.0,36578,40.6,41.4,31.7
67,"Sacramento County, California",535090,81290,78.2,81250,18.5,20666,27.5,17797,7.9,10379,4.7,4362,20.2,32732,351789,91376,14.1,54230,35.2,66777,29.1,128905,10.7,79527,7.3,144095,3.5,103128,1514460,30024,58.3,34929,9.8,23342,0.7,20599,15.2,28491,1.1,23265,7.8,16586,7.1,18981,23.0,18786,45.1,39123,31.2,31.4,24.7
68,"San Bernardino County, California",633173,73078,80.7,73448,11.5,18418,26.7,17622,8.4,9735,4.6,4879,16.1,28521,484218,78560,13.4,42174,35.8,59083,23.0,107097,13.6,77967,8.3,126357,5.9,102594,2140096,22641,61.4,24293,8.5,21364,0.7,21234,7.1,29403,0.3,20714,17.0,16716,4.9,15217,52.8,16715,29.2,32182,38.7,40.0,29.1
69,"San Diego County, California",1110568,96692,81.4,95696,23.2,25314,26.0,18265,5.3,9370,2.8,4021,18.1,32166,745752,108721,12.3,64510,33.6,87588,31.6,143526,10.2,93706,8.3,147377,4.0,105428,3317749,34328,71.9,36950,5.0,27396,0.8,22894,11.7,34433,0.4,29487,5.1,18512,5.1,21773,33.5,18944,45.9,47059,34.2,34.9,26.9
70,"San Francisco County, California",358703,144957,81.5,153199,32.7,32135,23.7,17084,7.3,9100,2.0,4499,12.0,30845,174077,172095,11.9,65049,27.3,152468,39.4,235312,10.5,118063,6.6,178678,4.2,136236,870887,61736,46.4,84414,5.0,31460,0.4,42243,34.5,47097,0.2,39298,8.1,24104,5.4,46904,15.2,33255,40.7,89854,33.8,37.4,30.3
71,"San Joaquin County, California",227186,77528,78.7,78180,15.2,20052,28.7,17437,9.6,10291,5.0,4684,18.2,29526,166267,85908,13.6,45731,34.1,64655,23.9,119997,12.9,76824,11.0,128914,4.4,108789,733709,24934,57.0,27590,7.1,22431,0.7,14625,15.2,26798,0.6,13721,10.1,17820,9.2,16795,41.2,16499,32.7,35541,35.8,35.8,26.8
72,"San Luis Obispo County, California",106312,88338,74.1,88082,31.9,17981,33.7,19677,3.7,12113,0.8,3440,23.0,38623,67493,104338,20.2,69539,27.7,89175,32.9,136821,10.0,81061,7.1,139928,1.9,121002,282887,34444,84.4,36699,1.8,12648,0.8,33330,3.9,30553,0.0,N,5.7,19798,3.4,19542,22.3,21991,69.2,39588,37.3,36.3,29.1
73,"San Mateo County, California",263445,156259,84.4,155211,33.8,37173,27.8,19401,3.6,10700,1.8,4963,16.9,33168,186003,177787,8.8,76475,27.6,162989,36.6,232997,10.3,121559,10.8,191375,5.8,129431,764797,55257,50.8,68181,2.3,43346,0.4,26787,28.1,52747,1.4,32564,11.1,20351,5.9,33576,24.8,25456,39.5,79371,32.6,34.1,25.2
74,"Santa Barbara County, California",142449,93389,80.3,85992,26.8,40363,29.7,18793,4.2,10064,2.1,5563,17.0,31073,96218,104251,12.6,84794,28.4,80576,31.3,130854,11.7,83508,11.7,131208,4.3,107041,446170,31217,76.6,34156,1.8,26481,1.1,16493,5.6,29732,0.0,N,10.4,18908,4.5,16974,45.1,17406,44.9,46104,35.6,32.7,28.8
75,"Santa Clara County, California",635687,146813,85.4,148791,32.0,29241,23.5,19915,5.2,11191,2.1,4947,12.8,29959,460126,161768,9.5,71067,32.1,136070,34.0,215030,10.0,116106,9.8,207693,4.6,137115,1919402,49642,44.0,59011,2.5,38669,0.5,29067,35.6,52649,0.4,33093,11.8,20232,5.2,24992,25.9,24238,32.2,69933,31.3,30.9,25.4
76,"Santa Cruz County, California",96257,106035,78.3,104627,33.5,26645,33.3,18635,5.8,7861,2.2,3278,20.0,34297,60500,122240,15.8,65162,30.2,99274,29.6,160761,9.8,118127,10.0,168593,4.6,129099,274673,38575,74.3,43945,1.1,46959,0.7,28860,5.0,29377,0.0,N,14.8,15529,4.2,35366,33.5,18971,57.6,50586,33.1,31.0,24.9
77,"Shasta County, California",72095,64293,66.8,64754,19.1,26074,39.3,18021,8.4,10287,3.4,4940,24.2,24354,46527,76226,24.5,53438,35.5,62141,26.7,106736,6.8,71138,4.9,128864,1.8,88382,179631,26455,88.1,27406,1.0,27123,1.6,20527,3.3,20672,0.0,N,0.8,20289,5.0,16633,9.8,16682,80.2,28344,30.6,29.1,23.8
78,"Solano County, California",149172,93929,80.3,92071,20.3,17749,30.8,17879,6.0,10153,4.0,4956,24.3,32090,110618,101473,14.1,55377,31.1,77533,27.1,137567,12.0,78402,10.2,148786,5.6,139063,440207,32543,49.8,39661,14.6,24514,0.4,19066,15.1,33554,0.8,30220,10.5,17443,8.8,22673,26.2,20936,38.2,43937,30.2,30.1,22.3
79,"Sonoma County, California",187504,97005,77.2,94375,32.2,26915,35.3,18781,5.4,10069,1.8,3576,21.8,31203,119397,112781,12.1,70591,32.1,89741,31.1,149663,10.1,90982,11.2,146474,3.4,95914,503070,37581,73.8,43113,1.7,27523,0.9,26464,4.3,33150,0.3,24653,14.2,17179,4.9,23361,26.6,19856,63.5,46419,34.3,33.8,28.4
80,"Stanislaus County, California",172881,73567,77.2,73805,14.3,26823,30.3,17023,9.7,10885,5.0,4708,17.1,28102,131103,79852,15.1,46552,34.5,62481,24.5,108292,11.0,75514,10.2,124404,4.8,79177,541560,24331,73.1,26565,3.2,19158,0.6,32397,5.7,24194,0.6,24199,12.7,16116,4.2,13190,45.6,16544,42.6,33192,33.4,33.2,24.2
81,"Sutter County, California",32345,69847,74.9,66756,19.3,24763,34.8,18167,7.4,11097,4.9,3563,20.1,26041,23974,78971,18.6,38637,33.9,75103,22.2,100845,8.2,78835,11.7,103107,5.2,100784,96651,23545,71.7,26013,1.7,33419,0.7,17744,15.4,19293,0.5,26652,3.4,11724,6.6,10500,30.5,13974,46.7,32357,29.6,29.6,21.5
82,"Tulare County, California",135648,61897,80.3,61494,11.3,14085,28.5,16706,8.1,9736,9.3,3580,14.6,26055,107163,64984,14.5,33117,39.0,46593,25.1,98023,9.8,63514,6.8,105823,4.8,82850,460437,18870,73.9,20281,1.3,22926,1.4,14737,4.5,21232,0.2,N,15.8,13123,3.0,11200,64.1,12819,28.7,32106,39.8,40.3,28.8
83,"Ventura County, California",268091,105609,80.8,104603,25.7,24910,31.4,19208,4.5,9987,1.8,4623,19.7,32803,193342,117966,12.8,62954,30.6,102975,30.2,151356,11.5,101828,10.8,152879,4.2,109611,849738,35298,80.2,36516,1.8,29758,0.7,24863,7.2,43324,0.2,20730,5.4,20363,4.7,23554,42.5,19225,45.7,49579,36.9,36.4,29.2
84,"Yolo County, California",73055,91705,77.3,90785,24.0,27826,25.8,17516,5.9,10157,2.3,3182,18.7,39089,45671,111551,14.5,58527,31.1,89235,34.9,154720,9.5,94446,7.5,131494,2.5,98679,215802,31956,70.4,34732,2.5,38335,0.9,16391,14.0,29333,0.4,29683,5.4,17220,6.5,19352,31.5,17666,47.1,43249,31.0,32.5,23.6
85,"Yuba County, California",26699,66815,75.8,64970,11.8,25893,28.5,16794,11.3,10333,5.0,3628,20.3,29299,18858,71886,17.8,36732,38.1,52763,26.4,90643,5.9,74528,10.2,125080,1.6,258297,75275,24029,74.4,24671,3.1,32662,1.4,15120,4.9,22127,1.8,22830,5.3,36622,9.1,11157,27.8,16657,55.8,27095,30.1,32.5,22.6
86,"Adams County, Colorado",163122,80680,86.1,79645,15.3,18215,21.3,18342,3.7,10603,2.1,2830,14.4,24070,114719,88037,9.0,46187,32.8,66788,31.1,110325,12.0,76917,10.7,126604,4.4,110501,498187,27873,80.9,29828,3.2,21452,1.5,21673,4.0,21345,0.1,N,6.5,17510,3.8,19132,39.6,17635,50.8,37095,33.9,36.1,26.5
87,"Arapahoe County, Colorado",235942,96722,84.9,93848,22.7,27092,23.3,18805,3.5,9189,1.6,3653,16.2,29466,155317,113747,8.9,69160,31.1,94925,37.8,140396,9.7,82823,8.9,150937,3.6,97682,637068,36874,71.0,42663,10.9,24910,0.6,28957,6.1,28280,0.3,21057,7.5,17462,3.7,16822,18.9,18565,61.1,46387,29.3,30.2,24.2
88,"Boulder County, Colorado",123820,105099,83.2,101604,36.2,27070,23.7,18693,2.2,10284,1.5,1454,14.0,32943,72540,137013,10.5,89682,31.5,118381,40.6,166091,8.5,108961,6.8,172146,2.2,93952,322226,41258,89.6,42861,1.1,34865,0.3,28209,4.8,29650,0.1,N,1.8,20395,2.4,25026,13.8,19809,78.0,46246,29.5,28.7,25.1
89,"Broomfield County, Colorado",26269,111621,83.7,114203,25.1,20286,20.9,18714,3.0,8154,1.3,4735,16.8,33393,16569,132200,N,N,N,N,N,N,N,N,N,N,N,N,66529,45463,86.4,45757,1.1,N,0.5,51859,5.9,43015,0.0,N,2.7,14144,3.4,N,12.2,44315,77.6,45908,31.7,32.7,26.3
90,"Denver County, Colorado",292003,90835,83.2,90340,21.9,33889,20.8,17179,3.9,9331,2.3,3236,12.1,26912,145959,113479,9.8,78638,32.2,85279,37.7,150039,10.5,84792,6.4,144786,3.4,104174,693060,39423,75.4,44363,9.8,24433,0.8,18909,3.7,36839,0.1,N,6.8,18601,3.4,22721,30.2,18302,54.0,54568,31.2,32.7,26.9
91,"Douglas County, Colorado",120125,134850,88.6,134181,29.3,16193,20.4,21758,1.4,9552,1.0,3375,16.0,33674,91461,150789,8.0,78016,28.2,138639,44.1,170395,7.8,121853,10.2,171071,1.8,195451,328632,49724,89.6,49924,1.4,56014,0.4,40513,4.7,61920,0.1,N,1.1,41261,2.6,23133,8.5,32403,83.1,51261,24.9,24.2,18.8
92,"El Paso County, Colorado",257508,80992,83.5,76430,25.0,11743,24.5,17851,4.0,9608,2.4,3497,22.1,32087,174122,94487,10.3,59518,34.4,77539,36.8,110818,8.7,95309,7.0,139017,2.9,103077,688284,31161,80.3,33422,6.3,22041,0.5,15804,2.7,31599,0.4,26293,3.7,22765,6.1,17411,16.7,20615,69.8,35049,31.4,30.1,24.3
93,"Jefferson County, Colorado",230890,96855,82.4,96043,28.2,18242,27.5,19563,3.1,10115,1.6,3774,17.7,30251,147485,115052,11.6,67119,27.1,96345,40.3,132445,9.5,105501,9.2,158832,2.4,135726,571837,39418,90.9,40609,1.3,24945,0.6,18794,3.0,32813,0.0,35562,1.7,28832,2.4,23617,15.2,22374,78.5,43596,29.1,28.4,22.8
94,"Larimer County, Colorado",131407,83934,80.1,81634,27.6,20051,26.4,18507,3.0,10101,2.1,1984,18.3,34876,82903,99577,15.9,72959,27.9,75165,38.0,118238,8.5,104011,8.9,140805,0.9,87613,339993,33117,90.4,34383,1.0,23769,0.8,19342,2.2,28030,0.2,16571,2.0,18196,3.5,18446,11.2,20476,82.9,35500,32.1,32.2,26.3
95,"Mesa County, Colorado",60188,60280,76.6,58672,21.8,15366,35.6,17339,3.6,8606,2.3,1868,17.8,25224,37593,72859,16.7,47721,33.7,57781,34.0,91356,8.5,68657,6.0,127084,1.0,82363,150083,24963,93.4,25688,0.3,7665,0.9,23508,0.8,23944,0.3,N,1.4,22622,2.9,7677,14.4,16350,81.6,27196,29.1,28.2,24.0
96,"Pueblo County, Colorado",62275,59601,69.3,63363,17.9,8707,33.5,16739,8.0,10480,3.8,4326,24.2,23996,37762,73614,21.8,43381,31.7,55392,29.1,102124,6.8,74690,8.5,116340,2.0,90715,165123,23420,80.7,24766,2.5,15517,5.0,17003,0.8,23249,0.1,N,7.9,18813,2.9,16010,42.8,18331,52.2,27976,38.3,40.1,30.5
97,"Weld County, Colorado",102087,81031,84.4,79424,19.8,19822,23.3,18640,3.5,11285,2.4,2034,14.4,28907,75573,89667,8.9,50973,32.9,67601,38.7,112359,9.8,73966,7.5,127037,2.1,120476,294932,28833,92.2,29485,1.2,19359,0.3,26735,1.5,32033,0.0,N,2.4,20526,2.4,14968,29.1,16732,66.2,34560,37.9,37.5,30.2
