Geography,Percent; Estimate; Population 18 to 24 years - Less than high school graduate,Percent Females; Estimate; Population 18 to 24 years - Less than high school graduate,Percent Females; Estimate; Population 18 to 24 years - Some college or associate's degree,Percent; Estimate; Population 18 to 24 years - Bachelor's degree or higher,Percent Females; Estimate; Population 25 years and over - Less than 9th grade,"Percent Females; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",Percent Females; Estimate; Population 25 years and over - High school graduate (includes equivalency),Percent Males; Estimate; Population 25 years and over - Bachelor's degree,Percent Females; Estimate; Percent high school graduate or higher,Percent Males; Estimate; Percent bachelor's degree or higher,Percent Females; Estimate; Percent bachelor's degree or higher,Percent Females; Estimate; Population 25 to 34 years - High school graduate or higher,Percent Males; Estimate; Population 25 to 34 years - Bachelor's degree or higher,Percent Females; Estimate; Population 25 to 34 years - Bachelor's degree or higher,Percent Females; Estimate; Population 45 to 64 years - Bachelor's degree or higher,Percent Females; Estimate; Population 65 years and over - High school graduate or higher,Percent Males; Estimate; Population 65 years and over - Bachelor's degree or higher,Percent Females; Estimate; Population 65 years and over - Bachelor's degree or higher,"Percent Females; Estimate; White alone, not Hispanic or Latino - High school graduate or higher","Percent Males; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher","Percent Females; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher",Percent Males; Estimate; Black alone - High school graduate or higher,Percent Males; Estimate; Asian alone - Bachelor's degree or higher,Percent Females; Estimate; Asian alone - Bachelor's degree or higher,Percent Males; Estimate; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher,Percent Males; Estimate; Some other race alone - High school graduate or higher,Percent Males; Estimate; Some other race alone - Bachelor's degree or higher,Percent; Estimate; Two or more races - Bachelor's degree or higher,Percent Males; Estimate; Hispanic or Latino Origin - Bachelor's degree or higher,Percent Females; Estimate; Hispanic or Latino Origin - Bachelor's degree or higher,Percent Males; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency),Percent Males; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree,Percent Females; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Total; Estimate; All households - With earnings,Total; Estimate; All households - With Social Security income,Total; Estimate; All households - With cash public assistance income,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,"Total; Estimate; White alone, not Hispanic or Latino",Total; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Family income in the past 12 months
"St. Lawrence County, New York",6.1,5.1,73.5,2.6,2.2,7.4,32.8,9.6,90.4,19.8,27.0,86.7,22.8,31.8,26.3,86.8,22.5,20.9,90.8,20.3,26.7,N,N,N,N,N,N,N,N,N,10.9,9.0,7.5,69.1,41.0,7.5,7.3,2.5,93.5,1.4,1.7,92,32.1,32.5
"Saratoga County, New York",6.4,2.2,49.0,13.3,1.1,4.1,25.5,24.8,94.8,40.0,41.5,94.8,36.5,53.5,44.8,92.4,40.3,24.0,95.1,39.7,40.5,N,81.6,75.2,N,N,N,N,28.2,45.3,9.8,3.7,1.2,79.5,30.2,1.6,8.5,2.7,93.2,3,2,90.7,29.2,27.5
"Schenectady County, New York",10.4,8.5,44.7,14.0,3.3,7.0,32.1,19.1,89.8,30.2,30.5,95.3,39.6,36.5,33.5,82.2,34.9,20.4,92.9,33.0,32.4,74.8,64.3,55.3,N,71.4,5.4,N,5.3,10.6,8.5,12.3,6.4,76.0,33.4,4.9,8.4,2.8,77.3,4.4,4,72.5,28.2,25.3
"Steuben County, New York",16.3,9.3,36.1,8.3,3.2,6.7,33.3,11.7,90.0,21.9,23.6,88.0,23.4,39.1,22.5,89.8,21.3,13.4,90.0,20.9,22.7,N,N,N,N,N,N,N,22.6,24.4,10.5,4.8,5.9,74.5,35.1,2.0,9.3,2.9,94.4,1.3,1.7,93.5,29.8,30.9
"Suffolk County, New York",10.5,9.5,49.1,16.6,3.9,5.0,29.2,20.1,91.1,34.2,35.4,94.1,35.2,43.2,35.5,87.4,36.4,24.2,95.0,38.5,38.7,91,64.1,55,N,63.7,14.2,31.4,14.5,18.8,6.1,3.7,3.8,79.9,35.3,1.7,11.1,5.4,80.1,3.9,2,68,44.7,46.7
"Sullivan County, New York",25.1,24.6,42.2,8.9,6.3,8.7,28.3,10.9,84.9,18.0,26.8,86.6,16.3,44.0,21.6,80.3,16.8,24.4,91.1,20.4,29.3,77,N,N,N,N,N,N,7.4,17.5,15.9,5.0,4.4,67.5,42.1,0.7,N,N,80.9,1.6,4,71.3,42.1,44.0
"Tompkins County, New York",3.0,4.5,64.2,21.8,1.3,4.1,21.2,24.5,94.6,52.6,50.9,93.9,61.5,61.0,49.4,93.4,54.1,38.9,97.2,49.2,50.8,100,N,N,N,N,N,N,N,N,17.5,3.4,3.5,77.5,25.1,2.8,N,N,79.5,10.1,4,76.8,27.0,27.2
"Ulster County, New York",12.2,8.0,55.9,9.2,4.4,4.3,26.0,18.0,91.3,30.1,35.5,89.4,25.1,37.6,35.4,89.0,37.6,31.3,92.9,33.2,36.3,87.9,N,N,N,72.4,16.6,29.9,9.7,26.7,16.8,7.0,4.4,76.4,36.7,3.9,11.2,2,84.8,2.2,3.9,79.5,37.9,37.4
"Warren County, New York",9.9,10.7,64.3,10.8,2.2,4.7,31.3,20.0,93.1,28.6,31.0,95.0,28.2,41.4,33.4,87.5,40.9,21.0,93.2,28.8,31.2,N,N,N,N,N,N,N,N,N,10.6,9.3,1.4,73.4,39.0,2.0,N,N,96.2,0.9,1.3,94.1,33.0,33.8
"Wayne County, New York",12.4,11.2,40.0,9.7,3.5,5.5,29.8,11.2,91.0,18.8,24.4,92.3,15.2,29.0,23.2,80.2,22.5,19.0,91.4,19.3,24.3,80.2,N,N,N,N,N,N,13.8,29.1,8.2,6.4,2.7,77.1,35.0,1.2,9.2,1.5,93.1,0.9,2.1,90,36.6,36.0
"Westchester County, New York",11.4,12.2,44.7,17.9,6.3,5.4,19.3,23.5,88.3,46.2,48.9,90.9,41.0,55.5,51.6,82.5,45.6,34.4,94.3,60.2,57.3,88.1,69,73.5,N,62.2,12.6,40.4,17.6,25.9,12.4,6.6,4.4,79.2,31.5,1.7,11.8,4.9,64.5,5.9,3.3,53.8,38.2,38.5
"Alamance County, North Carolina",9.8,6.8,64.0,6.1,3.8,7.5,25.3,13.8,88.8,21.2,23.5,90.4,18.6,28.3,27.2,86.3,25.8,16.4,92.9,26.6,29.2,82.5,N,N,N,40.5,0.3,18.1,3.5,3.3,13.2,4.9,2.4,78.2,32.8,1.9,10.1,1.8,69.5,1.4,2,64.6,38.0,37.0
"Brunswick County, North Carolina",19.6,30.0,25.4,4.4,2.0,5.9,29.8,18.6,92.0,30.8,23.7,86.9,10.6,15.3,27.0,90.2,44.7,23.2,93.0,33.7,25.9,89.5,N,N,N,N,N,N,N,N,10.8,4.2,6.5,60.2,52.1,1.7,3.2,1.5,83.4,0.6,2.7,81.6,30.9,31.6
"Buncombe County, North Carolina",13.1,10.2,52.2,10.3,1.9,6.9,20.8,21.1,91.2,35.5,39.6,93.9,30.0,41.2,41.9,87.3,34.7,29.8,92.8,38.3,41.0,95.2,N,N,N,N,N,N,22.1,21.6,9.1,8.6,5.1,73.0,34.6,1.6,6.9,2.3,88.6,1.4,2.2,83.8,23.6,23.6
"Burke County, North Carolina",21.4,22.5,33.8,5.6,7.6,9.7,31.1,8.8,82.7,13.8,18.4,88.1,11.2,10.0,21.2,73.2,19.9,12.1,85.3,15.2,19.9,N,8.7,11.7,N,N,N,N,10.7,24.6,16.8,5.9,1.2,68.5,42.4,2.3,9.6,1.8,84.2,3.9,1.2,82.1,31.4,32.2
"Cabarrus County, North Carolina",21.9,30.0,38.5,7.8,4.0,4.9,23.6,19.4,91.1,29.8,33.7,91.4,35.8,33.6,38.2,84.6,22.4,12.6,93.1,32.0,35.1,84.4,N,N,N,40.3,1.5,N,11.3,26.6,5.7,4.1,3.3,80.5,27.2,1.3,7.6,2.6,70.1,3.1,3.1,67,34.3,32.7
"Caldwell County, North Carolina",21.4,25.4,45.6,4.3,5.0,14.0,31.0,9.8,80.9,12.9,14.2,95.8,0.9,13.7,15.4,72.6,18.2,10.4,81.7,14.1,13.9,N,N,N,N,N,N,N,N,N,10.9,11.5,0.8,69.2,40.6,3.2,6.2,1.7,88.5,0.4,1.6,87.7,35.0,33.8
"Carteret County, North Carolina",33.4,35.2,42.4,8.6,3.5,3.9,26.7,15.0,92.6,25.9,25.3,93.6,17.8,27.8,23.6,89.5,32.2,21.9,94.7,26.7,25.9,100,N,N,N,N,N,N,17.4,24.8,15.4,6.5,6.8,68.1,45.1,5.6,8.8,1,89.8,0.8,3,86.2,29.0,28.3
"Catawba County, North Carolina",12.5,9.2,49.1,8.4,3.8,8.6,27.0,12.9,87.6,17.8,24.0,92.2,13.0,28.6,27.1,80.2,13.8,11.9,90.5,19.3,26.5,71.8,N,N,N,50.3,0,N,4.6,5.7,9.8,3.8,4.4,77.3,35.1,2.8,8.5,2.6,78,4.1,1.6,76,32.0,35.6
"Chatham County, North Carolina",3.3,0.0,57.8,3.7,6.4,5.4,19.4,21.8,88.1,43.9,41.3,87.9,21.0,52.6,41.5,85.7,53.6,35.6,91.6,52.1,48.4,77.6,N,N,N,N,N,N,19.7,11.7,23.8,8.2,5.2,67.7,42.7,0.8,N,N,82.3,1.2,3.7,72.3,31.4,33.2
"Cleveland County, North Carolina",20.4,24.8,44.5,10.9,4.5,9.8,29.6,11.9,85.6,20.0,19.8,95.3,18.9,20.4,15.5,74.5,20.1,14.8,89.6,23.6,21.4,72.3,N,N,N,N,N,N,N,N,19.3,12.1,9.4,69.4,36.1,3.4,7.9,1.1,74,1.2,0.8,73.2,38.3,37.6
"Craven County, North Carolina",13.4,9.1,40.7,5.3,4.2,6.7,25.5,18.5,89.1,28.3,24.7,89.6,21.7,21.3,28.0,91.0,38.3,21.7,94.6,33.4,30.1,74.7,N,N,N,N,N,N,1.4,4.7,17.1,3.3,3.1,73.5,38.4,6.2,6.3,0.7,69.2,3.1,4,65.9,30.0,29.4
"Cumberland County, North Carolina",12.1,11.2,52.6,4.4,3.3,7.1,24.6,15.8,89.6,24.2,26.5,92.7,21.0,28.2,27.8,76.9,21.3,15.0,92.0,28.1,28.6,89.7,43.7,24.6,N,80.2,17.9,25,21.2,25.8,13.9,9.9,6.1,77.5,26.6,1.9,9.8,1.7,49.8,2.3,5.7,43.7,36.8,35.7
"Davidson County, North Carolina",23.6,18.4,40.5,4.3,3.9,9.2,34.0,10.9,86.9,15.4,19.0,93.0,15.4,26.6,18.1,78.9,14.5,12.6,89.0,17.2,20.1,76.4,N,N,N,N,N,N,8.1,0,12.3,8.6,4.9,74.9,36.6,1.4,7.4,0.9,84.7,1.6,2.7,80.5,38.3,39.0
"Durham County, North Carolina",11.2,11.0,32.9,26.5,4.8,7.8,17.4,25.1,87.4,45.9,49.4,89.0,55.3,62.2,47.2,83.0,45.3,36.3,96.5,60.8,63.6,89,78.6,66.9,N,41.5,4,42,8.1,9.4,14.7,7.5,6.5,83.1,23.0,1.6,9.5,2.3,51.6,5.1,2.6,42.2,32.0,34.2
"Forsyth County, North Carolina",15.6,10.5,45.6,9.9,4.7,5.6,23.4,20.9,89.8,33.7,34.9,90.9,28.2,37.7,34.6,87.7,35.3,27.5,93.7,39.8,39.5,88.4,83.8,61.8,N,57.3,2.1,27,16.3,13.3,15.0,13.9,7.1,75.3,31.2,1.3,7.5,2.2,66.2,2.3,2.4,57,32.2,32.6
"Gaston County, North Carolina",18.5,13.2,41.7,8.2,4.5,9.3,29.2,13.6,86.2,20.6,22.7,89.0,20.7,27.2,21.5,76.9,17.1,17.8,87.1,21.2,22.1,80,52,41.5,N,32.3,0,N,18.4,18.4,9.9,5.0,6.3,76.8,34.2,3.9,10.2,2.3,77.4,1.7,2.3,73.3,46.5,47.1
"Guilford County, North Carolina",10.5,6.7,59.3,8.7,4.9,6.2,23.9,22.3,88.9,34.5,34.4,90.5,32.9,33.1,36.9,84.4,35.0,24.2,93.0,43.9,39.7,84.7,37.5,45.2,N,63.8,17.1,33.8,13.7,16.2,15.8,11.2,6.3,77.3,30.3,1.7,9.5,2.1,55.8,5,2.2,51,33.1,34.1
"Harnett County, North Carolina",20.7,12.0,54.6,8.0,3.8,8.2,26.7,12.2,88.0,17.9,21.8,92.0,18.6,30.8,19.5,81.2,17.0,12.1,91.3,22.1,24.5,85.1,N,N,N,65.6,2,23.2,8.7,12.7,9.9,8.1,9.0,80.2,27.7,2.0,10.9,2.1,66.4,0.7,4.4,61.9,29.6,30.9
"Henderson County, North Carolina",13.4,12.5,32.8,18.7,4.2,6.0,25.8,17.5,89.8,29.5,31.3,89.3,12.6,19.4,36.4,88.6,44.3,30.9,94.4,31.4,34.1,95.2,N,N,N,N,N,N,13.1,11.7,7.9,6.1,4.5,68.3,44.3,1.3,7.2,1.7,93,1.4,0.7,83.7,32.9,33.9
"Iredell County, North Carolina",18.6,12.2,48.1,4.1,4.3,7.9,27.0,19.9,87.8,27.2,25.6,93.0,25.8,29.4,26.7,80.0,26.4,15.8,91.8,27.7,27.7,94.9,49.8,37.6,N,N,N,N,16.2,16.3,6.3,5.5,2.6,79.5,31.6,2.0,8.2,2,82.5,2.6,1.3,76.2,31.8,31.1
"Johnston County, North Carolina",21.8,15.5,61.7,3.3,4.1,8.2,24.7,14.9,87.7,20.8,26.8,96.1,22.6,32.5,31.4,83.1,16.9,14.2,91.6,21.7,30.3,79.2,N,N,N,N,N,N,10.4,11,12.1,8.2,5.7,78.5,29.4,1.4,7,1.3,78.3,0.3,2.8,68.4,28.6,27.7
"Lincoln County, North Carolina",17.2,6.8,33.6,14.3,3.2,8.1,31.8,15.4,88.7,20.6,21.3,88.4,13.9,18.8,20.9,86.9,22.6,9.5,91.3,22.4,23.7,N,N,N,N,N,N,N,3.2,6,5.0,13.2,5.2,75.8,34.5,5.4,9.4,0.8,87.4,0.8,1.8,84.8,31.6,28.9
"Mecklenburg County, North Carolina",12.6,9.0,49.0,16.9,3.5,4.6,17.2,30.1,91.9,45.0,44.2,92.9,45.9,52.3,42.0,88.2,38.5,30.9,97.3,57.4,54.9,88,70.1,57.9,N,54,12.7,48.8,15.5,20,11.5,7.5,3.0,85.1,21.0,1.1,9.8,2.3,54.5,5.6,2.5,47.4,30.9,32.9
"Moore County, North Carolina",23.4,25.2,49.7,3.2,2.4,4.2,20.9,21.5,93.4,39.3,36.5,93.0,34.6,31.8,36.1,91.7,50.2,34.9,94.8,46.2,40.5,86.2,N,N,N,N,N,N,N,N,15.5,7.7,1.1,64.6,44.4,0.6,4.4,1,82.5,1.7,1.5,77.3,29.8,31.7
"Nash County, North Carolina",8.2,8.2,71.2,5.6,3.9,9.4,32.3,10.9,86.7,18.8,21.6,88.2,12.2,18.6,24.8,72.3,14.5,13.0,89.8,22.4,25.8,71.6,N,N,N,N,N,N,N,N,14.8,10.2,2.8,76.5,38.2,0.9,10.9,1.8,53.4,0.9,1.7,50.4,28.0,30.6
"New Hanover County, North Carolina",8.2,6.7,40.9,17.7,2.1,4.5,25.1,27.4,93.4,39.9,38.3,91.1,39.2,46.3,36.2,90.3,46.4,30.8,95.5,44.8,41.2,80.3,N,N,N,N,N,N,11.9,33.6,18.4,12.6,7.7,74.4,31.4,3.2,6.1,1.9,81,1,2.9,77,23.6,25.0
"Onslow County, North Carolina",8.7,9.5,47.2,2.5,2.5,6.3,24.5,12.0,91.3,16.4,20.7,95.5,19.7,29.6,8.8,83.6,9.0,15.3,91.7,18.2,21.4,82.2,N,N,N,N,N,18.1,24.3,18.9,8.5,7.1,5.2,81.7,25.3,2.4,7,1,74.5,1.8,8.5,66.5,32.4,32.1
"Orange County, North Carolina",2.9,2.2,55.7,24.0,3.2,5.2,10.3,22.3,91.6,55.3,60.5,97.5,48.7,69.7,58.1,81.5,53.2,47.4,95.2,63.6,67.4,89,66.9,68.1,N,N,N,N,22.3,35,17.1,6.9,5.3,81.4,25.1,0.9,9.1,1.4,75.2,7.9,4.5,69,24.0,22.7
"Pitt County, North Carolina",5.1,3.5,62.2,11.6,3.2,6.0,20.0,17.5,90.9,30.4,32.7,96.5,24.9,40.8,32.9,78.9,27.2,21.7,93.9,39.0,40.4,82.1,N,N,N,N,N,N,19,20.4,23.0,5.1,5.1,79.0,25.0,1.0,10.5,2.5,57.7,1.7,2.5,55,47.9,48.9
"Randolph County, North Carolina",18.0,11.3,53.3,3.5,4.9,10.5,31.0,10.6,84.6,14.9,17.5,89.2,12.4,23.8,18.0,74.5,19.8,9.6,87.8,16.3,18.0,72.7,38.2,32.4,N,N,N,N,2.2,11.1,11.6,7.2,2.7,75.3,37.2,1.6,9,3.7,83.7,1,2,79.3,34.4,33.8
"Robeson County, North Carolina",16.0,13.1,43.9,3.1,5.9,11.4,33.5,7.8,82.7,10.2,15.9,82.4,8.8,14.1,14.3,71.0,14.1,14.7,87.8,16.3,18.5,77.4,N,N,N,41,2.1,N,3,3.5,20.1,13.8,5.6,68.3,38.2,1.4,11.3,2.3,28.9,0.7,1.7,25.5,42.6,45.7
"Rockingham County, North Carolina",25.5,15.1,60.0,1.3,5.0,14.0,30.8,7.9,80.9,12.3,16.2,83.9,16.5,14.5,19.9,71.2,12.4,11.1,82.3,14.6,19.0,71.5,N,N,N,N,N,N,4.8,22.6,9.6,9.0,4.9,67.9,40.2,2.5,7.8,0.6,77.3,0.7,2.5,72.4,44.8,49.2
"Rowan County, North Carolina",13.5,3.8,49.1,5.5,4.4,7.5,29.9,15.5,88.1,19.1,20.3,93.7,15.2,21.7,24.0,83.4,23.2,13.6,89.6,20.9,21.7,85.2,N,N,N,N,N,N,8.3,5.6,9.3,3.4,1.1,72.9,39.2,1.0,9.2,3.3,76.8,0.8,2,72.7,42.7,41.9
"Rutherford County, North Carolina",11.8,10.3,36.3,10.6,6.0,9.6,30.8,11.5,84.4,15.5,20.6,93.4,22.3,21.7,22.4,72.7,15.6,16.2,86.9,16.5,22.5,69.2,N,N,N,N,N,N,N,N,17.8,9.8,5.4,64.7,42.6,3.7,N,N,87.4,1.1,1.4,83.5,29.4,31.7
"Surry County, North Carolina",14.3,13.0,62.5,4.7,10.7,12.3,27.8,10.3,77.0,15.8,14.2,79.6,12.3,18.4,13.7,63.0,13.2,10.2,80.0,16.1,15.3,93.3,N,N,N,N,N,N,1.1,2.8,14.0,8.0,2.5,63.9,39.6,2.2,8.3,2.1,90.2,0.6,1.5,84.3,33.4,34.2
"Union County, North Carolina",11.8,8.6,50.5,7.7,2.3,8.8,24.8,24.3,88.9,34.4,33.4,86.4,20.9,31.1,34.0,85.9,27.0,18.6,93.2,39.1,36.8,79.5,61.6,68,N,N,N,35.7,6.4,15.2,4.9,5.9,2.5,84.2,27.1,1.3,10.2,2.5,82.6,2.6,2.3,72.7,32.0,32.5
"Wake County, North Carolina",8.8,6.7,44.5,19.2,2.8,3.6,13.8,34.3,93.6,54.2,52.2,93.5,52.5,56.6,53.0,88.8,51.0,30.9,97.8,62.3,58.5,89.2,78.8,69.3,N,47.1,17.8,41.4,26.8,27.5,9.9,5.5,3.0,86.3,21.3,1.0,8,2.3,65.7,6.6,3,60.3,27.7,29.0
"Wayne County, North Carolina",19.6,21.6,49.7,3.0,7.7,8.4,26.6,10.6,84.0,15.6,19.3,81.4,15.8,19.0,21.4,79.0,16.5,13.4,94.8,21.5,26.1,83.1,N,N,N,N,N,N,N,N,12.5,9.7,1.9,68.7,37.5,1.2,8.1,0.9,64.2,1.2,3.5,53.8,25.3,25.6
"Wilkes County, North Carolina",18.5,9.1,57.5,6.3,6.7,11.2,29.7,9.9,82.1,14.1,16.1,86.4,5.3,13.0,15.3,74.8,24.8,13.6,83.7,14.5,16.5,N,N,N,N,N,N,N,N,N,12.7,7.2,0.0,70.1,40.8,1.2,9,1.6,90.3,1.8,2,87.6,31.3,30.6
"Wilson County, North Carolina",30.1,21.2,32.4,3.4,8.5,11.3,30.1,12.6,80.2,17.3,19.4,81.1,21.2,19.1,17.3,66.7,14.1,13.3,91.3,29.3,27.9,71.2,N,N,N,N,N,N,0,7.9,15.9,7.4,7.1,69.8,37.7,1.8,11.1,2.8,50.8,0.3,2.5,N,39.5,35.7
"Burleigh County, North Dakota",6.5,5.5,61.2,8.8,1.8,4.6,22.9,22.8,93.6,33.2,33.5,96.0,26.0,47.0,33.4,89.2,31.9,20.7,94.7,34.2,35.9,N,N,N,N,N,N,N,N,N,10.1,5.4,1.7,82.7,25.6,0.4,7.6,2,90.9,0.8,1.5,89.3,31.7,32.2
"Cass County, North Dakota",3.3,2.6,58.6,20.2,2.0,2.2,17.2,28.2,95.8,37.3,45.1,97.5,45.9,58.2,44.2,91.6,23.6,25.0,97.5,39.8,46.6,98.6,27.6,51.4,N,N,N,N,N,N,11.6,8.6,1.5,86.3,21.3,2.5,6.9,1.3,87.7,2.6,3.1,86,26.5,28.5
"Grand Forks County, North Dakota",1.5,2.2,54.2,9.2,1.1,2.5,26.3,20.3,96.4,29.8,36.5,100.0,35.8,42.2,29.3,90.8,26.2,28.3,97.0,31.2,38.9,N,N,N,N,N,N,N,N,N,11.0,6.1,5.5,81.1,22.8,2.8,N,N,87.8,2.5,3,84.6,26.8,28.4
"Ward County, North Dakota",11.5,8.0,46.0,11.9,2.8,4.4,28.0,18.7,92.8,24.8,30.9,93.3,18.1,44.7,26.9,89.4,27.6,20.9,95.4,26.9,32.4,N,N,N,N,N,N,N,N,N,3.2,6.1,0.7,87.4,21.0,1.3,N,N,86.6,1.2,3.2,83.3,35.4,35.0
"Allen County, Ohio",12.7,8.7,44.4,5.2,1.1,10.2,37.4,10.5,88.7,17.0,16.2,89.2,15.7,18.5,17.4,82.8,17.2,12.7,88.1,18.1,16.5,73.4,N,N,N,N,N,N,N,N,10.4,6.3,3.1,73.9,31.2,2.9,9.9,2.5,82.5,0.9,3.4,80.9,37.1,40.8
"Ashtabula County, Ohio",24.8,23.6,41.2,7.9,6.0,9.2,41.2,7.4,84.9,12.5,14.6,77.3,10.9,20.5,11.0,89.0,18.0,14.5,85.9,12.8,15.4,70.2,N,N,N,N,N,N,1.1,0,15.5,12.2,4.7,65.5,40.1,2.4,12.9,2.1,92.4,0.5,2.6,N,32.9,35.6
"Athens County, Ohio",3.4,1.6,72.3,4.7,1.9,7.1,36.5,13.6,91.0,24.3,27.7,95.8,19.7,37.1,26.3,85.7,26.3,19.3,90.5,23.0,26.0,N,N,N,N,N,N,N,N,N,22.4,18.3,11.4,71.0,34.2,3.6,N,N,90.4,1.9,3.8,89.4,38.7,37.1
"Belmont County, Ohio",14.3,5.3,51.2,7.8,2.8,5.4,37.6,13.3,91.8,20.4,17.7,93.4,19.3,31.5,17.2,84.5,21.5,10.7,91.8,20.4,17.6,70.1,N,N,N,N,N,N,N,N,10.7,12.9,7.4,71.8,36.9,3.5,12.1,1.6,N,N,N,N,34.2,33.2
"Butler County, Ohio",7.1,7.9,55.6,9.6,3.1,7.0,31.3,20.6,89.9,31.3,28.1,88.9,29.4,32.3,27.1,84.0,30.1,20.4,90.6,32.7,28.6,92.1,61.3,40.7,N,N,N,27.9,8,17.1,7.3,6.9,1.8,79.3,29.1,1.7,9.6,2.2,85.4,2.7,2.8,81.8,40.4,39.7
"Clark County, Ohio",15.1,13.8,49.6,4.8,1.5,10.2,36.4,11.5,88.3,18.1,17.7,84.0,10.8,18.2,18.7,85.6,22.3,11.5,87.9,18.1,18.7,92.2,N,N,N,N,N,N,18.1,5.6,12.1,6.1,3.8,72.3,36.4,11.3,9.2,2.5,86.9,0.3,4.6,84.3,36.3,37.1
"Clermont County, Ohio",14.9,13.4,38.2,7.2,2.5,7.6,33.5,18.5,89.9,28.9,27.4,95.3,30.0,35.5,25.9,81.7,31.4,18.1,89.9,28.7,26.9,N,N,N,N,N,N,N,N,N,10.3,7.9,3.4,79.5,30.4,1.9,7,3.2,95.3,1.4,1.3,93.8,31.4,32.2
"Columbiana County, Ohio",17.4,15.2,15.1,19.1,2.2,8.8,39.5,8.3,89.0,13.5,12.8,87.7,12.6,21.0,13.0,82.4,18.0,9.2,89.9,14.2,12.9,N,N,N,N,N,N,N,N,N,8.8,11.5,1.7,72.1,40.5,2.4,8.8,2.5,94.5,0,1.5,94.1,29.9,29.3
"Cuyahoga County, Ohio",14.5,13.3,43.4,14.5,2.6,7.1,28.3,18.6,90.4,31.9,30.6,93.4,34.7,38.2,30.8,84.4,32.8,20.0,93.0,39.2,36.2,82.7,69.2,53.2,N,63.2,11.7,28.9,11.3,22.7,17.2,12.6,5.6,73.3,30.6,3.3,11.6,2.2,62.5,2.8,3.4,59.2,32.5,33.3
"Delaware County, Ohio",8.1,8.5,46.3,15.6,1.0,2.6,22.5,36.1,96.4,57.2,52.7,99.1,58.7,58.5,52.9,91.3,47.8,27.3,96.8,56.8,51.6,83.9,N,N,N,N,N,N,6.1,26.3,7.9,3.7,2.0,82.6,24.4,1.1,7.7,1.6,88.1,5.8,2.1,85.8,27.0,26.9
"Erie County, Ohio",11.2,14.7,32.4,7.3,1.9,5.8,36.2,14.1,92.3,21.6,21.7,99.2,22.8,17.4,25.4,85.0,23.1,15.7,94.6,21.5,24.0,77.5,N,N,N,N,N,N,N,N,9.6,8.5,3.1,73.4,41.0,1.1,5.8,2.3,85.5,0.8,3.4,83.2,30.4,29.5
"Fairfield County, Ohio",12.7,5.9,53.3,8.2,2.9,4.7,30.3,15.1,92.4,25.4,29.0,95.5,16.5,31.6,29.9,85.1,24.2,15.5,92.3,23.9,27.6,97.6,N,N,N,N,N,N,30,51.6,12.5,3.9,0.7,78.9,30.6,2.6,12.1,1.6,87.5,1,3.1,86.8,26.0,25.0
"Franklin County, Ohio",9.7,10.4,53.4,14.7,2.9,6.1,25.7,25.6,90.9,39.6,38.6,93.3,41.9,46.6,35.1,84.3,38.7,25.4,93.5,44.9,43.7,86.9,63.4,57.8,N,60.5,10,31.3,25.1,26.5,15.0,8.7,4.5,82.7,22.9,1.9,10.9,2.7,67.6,5,3.8,64.1,28.8,30.9
"Geauga County, Ohio",32.8,40.2,26.4,12.4,8.9,2.3,26.1,21.6,88.8,34.8,37.2,83.2,32.1,40.7,40.8,84.9,33.5,21.7,89.2,35.4,36.3,N,N,N,N,N,N,N,N,N,8.9,3.6,1.3,79.3,31.6,1.6,6.5,5.6,N,N,N,95.7,34.3,35.1
"Greene County, Ohio",10.0,9.1,67.4,8.8,1.7,4.2,24.8,20.4,94.1,40.3,33.8,95.4,38.4,46.2,34.0,92.7,44.7,20.6,93.9,38.1,32.8,89.1,N,N,N,N,N,31.1,48.6,25.3,12.1,8.1,2.9,74.3,31.1,2.6,8.8,1.6,85.6,3,3.2,83.8,27.1,27.6
