Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Steuben County, New York",96940,*****,1375,442
"Suffolk County, New York",1492583,*****,21452,3380
"Sullivan County, New York",74801,*****,2489,1071
"Tompkins County, New York",104871,*****,3978,1046
"Ulster County, New York",179225,*****,6207,1921
"Warren County, New York",64567,*****,834,318
"Wayne County, New York",90798,*****,1869,495
"Westchester County, New York",974542,*****,20156,3585
"Alamance County, North Carolina",159688,*****,2718,978
"Brunswick County, North Carolina",126953,*****,3023,2134
"Buncombe County, North Carolina",256088,*****,5295,1603
"Burke County, North Carolina",88851,*****,1023,698
"Cabarrus County, North Carolina",201590,*****,5018,1609
"Caldwell County, North Carolina",81449,*****,1098,914
"Carteret County, North Carolina",68890,*****,2044,561
"Catawba County, North Carolina",156459,*****,2450,1140
"Chatham County, North Carolina",72243,*****,2545,1053
"Cleveland County, North Carolina",97144,*****,658,392
"Craven County, North Carolina",103445,*****,4174,2364
"Cumberland County, North Carolina",327127,*****,17046,2672
"Davidson County, North Carolina",164926,*****,4421,1585
"Durham County, North Carolina",306212,*****,7454,1962
"Forsyth County, North Carolina",371511,*****,7758,2261
"Gaston County, North Carolina",216965,*****,4215,1808
"Guilford County, North Carolina",521330,*****,10700,2807
"Harnett County, North Carolina",130881,*****,4909,1335
"Henderson County, North Carolina",114209,*****,825,474
"Iredell County, North Carolina",172916,*****,1867,816
"Johnston County, North Carolina",191450,*****,4883,1582
"Lincoln County, North Carolina",81168,*****,977,702
"Mecklenburg County, North Carolina",1054835,*****,24054,3256
"Moore County, North Carolina",95776,*****,1244,1159
"Nash County, North Carolina",94005,*****,1412,1019
"New Hanover County, North Carolina",223483,*****,6187,1804
"Onslow County, North Carolina",187136,*****,13750,2530
"Orange County, North Carolina",141796,*****,5444,1802
"Pitt County, North Carolina",177220,*****,4237,1714
"Randolph County, North Carolina",143416,*****,2367,796
"Robeson County, North Carolina",133235,*****,2011,965
"Rockingham County, North Carolina",91393,*****,2268,1258
"Rowan County, North Carolina",139933,*****,2526,932
"Rutherford County, North Carolina",66421,*****,948,795
"Surry County, North Carolina",72113,*****,1046,679
"Union County, North Carolina",226606,*****,4954,1466
"Wake County, North Carolina",1046791,*****,28048,4232
"Wayne County, North Carolina",124150,*****,4350,1585
"Wilkes County, North Carolina",68740,*****,1364,630
"Wilson County, North Carolina",81661,*****,2025,939
"Burleigh County, North Dakota",94487,*****,1242,831
"Cass County, North Dakota",175249,*****,5051,1723
"Grand Forks County, North Dakota",71083,*****,2051,978
"Ward County, North Dakota",70210,*****,2216,1064
"Allen County, Ohio",103742,*****,3239,1168
"Ashtabula County, Ohio",98231,*****,2507,904
"Athens County, Ohio",66186,*****,2427,685
"Butler County, Ohio",377537,*****,9963,2715
"Clark County, Ohio",134786,*****,6143,1020
"Clermont County, Ohio",203022,*****,2626,802
"Columbiana County, Ohio",103685,*****,1347,542
"Cuyahoga County, Ohio",1249352,*****,38539,4865
"Delaware County, Ohio",196463,*****,3908,1404
"Erie County, Ohio",75107,*****,2376,1114
"Fairfield County, Ohio",152597,*****,4579,1498
"Franklin County, Ohio",1264518,*****,45547,6197
"Greene County, Ohio",164765,*****,5104,1518
"Hamilton County, Ohio",809099,*****,22356,3897
"Hancock County, Ohio",75872,*****,1667,407
"Lake County, Ohio",228614,*****,4819,1646
"Licking County, Ohio",172198,*****,4265,1209
"Lorain County, Ohio",306365,*****,8943,1936
"Lucas County, Ohio",432488,*****,14618,2246
"Mahoning County, Ohio",230008,*****,6762,2087
"Medina County, Ohio",177221,*****,3135,664
"Miami County, Ohio",104679,*****,2009,791
"Montgomery County, Ohio",531239,*****,16137,2416
"Portage County, Ohio",161921,*****,3562,1017
"Richland County, Ohio",121107,*****,2168,753
"Stark County, Ohio",373612,*****,11409,2141
"Summit County, Ohio",540300,*****,15289,2590
"Trumbull County, Ohio",201825,*****,4397,1587
"Warren County, Ohio",227063,*****,2797,1126
"Wayne County, Ohio",116470,*****,1801,611
"Wood County, Ohio",130219,*****,2186,817
"Canadian County, Oklahoma",136532,*****,6190,1411
"Cleveland County, Oklahoma",278655,*****,18485,2276
"Comanche County, Oklahoma",122136,*****,10042,1692
"Creek County, Oklahoma",71312,*****,4138,906
"Muskogee County, Oklahoma",69477,*****,6471,1525
"Oklahoma County, Oklahoma",782970,*****,47401,4415
"Payne County, Oklahoma",81131,*****,3656,1049
"Pottawatomie County, Oklahoma",72290,*****,3283,814
"Rogers County, Oklahoma",91766,*****,8895,1173
"Tulsa County, Oklahoma",642940,*****,49940,3382
"Wagoner County, Oklahoma",77679,*****,6979,1112
"Benton County, Oregon",89385,*****,3531,937
"Clackamas County, Oregon",408062,*****,16014,2742
"Deschutes County, Oregon",181307,*****,5412,949
"Douglas County, Oregon",108457,*****,4733,726
"Jackson County, Oregon",216527,*****,7883,1976
"Josephine County, Oregon",85904,*****,1417,841
"Klamath County, Oregon",66443,*****,2725,1001
"Lane County, Oregon",369519,*****,18450,2214
"Linn County, Oregon",122849,*****,4260,876
"Marion County, Oregon",336316,*****,29248,5759
"Multnomah County, Oregon",799766,*****,39472,4134
"Polk County, Oregon",81823,*****,2369,922
"Umatilla County, Oregon",76456,*****,3823,905
"Washington County, Oregon",582779,*****,29302,4300
"Yamhill County, Oregon",105035,*****,4763,1074
