Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Glades County, Florida",12952,10183,1511,502,244,0,497,15,0,15
"Gulf County, Florida",15796,12293,2928,91,140,0,134,210,21,189
"Hamilton County, Florida",14728,8993,5112,39,58,0,252,274,51,223
"Hardee County, Florida",27347,22546,2239,232,294,3,1714,319,176,143
"Hendry County, Florida",38669,25727,5188,666,280,0,6377,431,173,258
"Hernando County, Florida",172784,155885,9205,552,1935,67,2507,2633,330,2303
"Highlands County, Florida",98734,83820,9190,542,1270,77,2181,1654,333,1321
"Hillsborough County, Florida",1238365,908147,207092,6692,42249,995,38330,34860,7649,27211
"Holmes County, Florida",19971,18111,1077,175,105,78,25,400,0,400
"Indian River County, Florida",138203,120601,12313,185,1639,8,1457,2000,149,1851
"Jackson County, Florida",49589,34192,12988,206,238,15,627,1323,219,1104
"Jefferson County, Florida",14564,8769,5376,30,12,10,191,176,42,134
"Lafayette County, Florida",8668,6994,1334,0,33,0,307,0,0,0
"Lake County, Florida",297995,249767,28631,986,5226,219,6673,6493,1817,4676
"Lee County, Florida",624155,526198,50514,2496,9476,103,24665,10703,2681,8022
"Leon County, Florida",276506,174433,83628,1070,8399,112,3017,5847,724,5123
"Levy County, Florida",40541,35253,3791,79,203,4,263,948,233,715
"Liberty County, Florida",8300,6300,1316,115,66,0,221,282,0,282
"Madison County, Florida",19187,10866,7463,70,42,94,369,283,22,261
"Manatee County, Florida",324834,271678,28052,780,5591,159,13113,5461,1033,4428
"Marion County, Florida",331987,270917,41173,1261,4544,129,8629,5334,1208,4126
"Martin County, Florida",146497,128266,8288,895,1374,33,5600,2041,399,1642
"Miami-Dade County, Florida",2512219,1881017,477618,3843,40005,779,73851,35106,14744,20362
"Monroe County, Florida",73475,66362,4769,137,778,3,615,811,126,685
"Nassau County, Florida",73303,66088,4949,142,628,25,383,1088,142,946
"Okaloosa County, Florida",183400,148726,16290,1068,5886,322,3339,7769,992,6777
"Okeechobee County, Florida",39779,33833,3393,286,158,0,1503,606,72,534
"Orange County, Florida",1153795,752892,238585,3656,56129,1263,69884,31386,9208,22178
"Osceola County, Florida",272355,204701,31134,670,7160,33,18925,9732,2840,6892
"Palm Beach County, Florida",1324085,1009367,229313,2436,31527,636,28128,22678,3961,18717
"Pasco County, Florida",465276,416723,20425,1626,10165,374,5868,10095,2485,7610
"Pinellas County, Florida",917389,765829,94304,2293,27673,786,8309,18195,2456,15739
"Polk County, Florida",604562,475978,89051,1943,10100,269,15587,11634,1572,10062
"Putnam County, Florida",74224,57520,12212,254,487,58,2436,1257,98,1159
"St. Johns County, Florida",191495,171489,10158,380,3754,336,1447,3931,265,3666
"St. Lucie County, Florida",278246,203117,52361,1328,4368,94,8645,8333,1786,6547
"Santa Rosa County, Florida",153086,134013,7958,1114,3265,157,1129,5450,849,4601
"Sarasota County, Florida",380479,347224,17619,848,5125,118,3939,5606,511,5095
"Seminole County, Florida",423389,341546,46044,1016,16382,308,6885,11208,1869,9339
"Sumter County, Florida",94240,82441,9198,270,718,54,811,748,130,618
"Suwannee County, Florida",42287,35519,4902,84,160,0,465,1157,96,1061
"Taylor County, Florida",22561,17081,4821,144,152,39,64,260,0,260
"Union County, Florida",15400,11435,3197,72,144,3,226,323,80,243
"Volusia County, Florida",495581,407410,51487,1665,8006,244,17859,8910,2158,6752
"Wakulla County, Florida",30449,25186,4246,165,183,0,152,517,18,499
"Walton County, Florida",55349,48450,3037,447,529,124,1513,1249,19,1230
"Washington County, Florida",24732,19760,3565,175,104,0,141,987,165,822
"Appling County, Georgia",18279,13655,3563,25,138,12,833,53,29,24
"Atkinson County, Georgia",8355,5499,1418,2,0,0,1241,195,31,164
"Bacon County, Georgia",11124,8608,1810,0,69,8,603,26,0,26
"Baker County, Georgia",3483,1497,1981,0,0,0,0,5,0,5
"Baldwin County, Georgia",46378,25696,19335,61,721,0,262,303,52,251
"Banks County, Georgia",18250,17046,507,14,198,0,348,137,7,130
"Barrow County, Georgia",69136,55517,8396,128,2245,0,1451,1399,133,1266
"Bartow County, Georgia",99872,82548,10000,467,727,63,4593,1474,95,1379
"Ben Hill County, Georgia",17612,10546,6253,0,7,0,289,517,293,224
"Berrien County, Georgia",19131,16048,2126,12,38,0,470,437,192,245
"Bibb County, Georgia",155560,68053,80153,341,2522,93,1587,2811,120,2691
"Bleckley County, Georgia",13009,8957,3666,11,267,0,84,24,0,24
"Brantley County, Georgia",18279,17389,750,25,72,0,0,43,0,43
"Brooks County, Georgia",16066,9550,5730,6,58,0,564,158,24,134
"Bryan County, Georgia",30616,24518,4247,71,491,0,278,1011,140,871
"Bulloch County, Georgia",70360,47002,19530,206,1050,0,1450,1122,139,983
"Burke County, Georgia",23242,11129,11588,16,30,0,233,246,0,246
"Butts County, Georgia",23671,16604,6773,0,54,0,113,127,0,127
"Calhoun County, Georgia",6581,2254,3937,33,40,0,267,50,0,50
"Camden County, Georgia",50435,37892,9831,236,724,161,213,1378,132,1246
"Candler County, Georgia",11007,7509,2665,29,96,0,629,79,0,79
"Carroll County, Georgia",110750,85848,20175,327,905,0,1561,1934,138,1796
"Catoosa County, Georgia",64226,60234,1534,251,735,12,342,1118,349,769
"Charlton County, Georgia",12954,9561,3202,41,0,0,94,56,29,27
"Chatham County, Georgia",266344,144797,107233,569,6563,146,2792,4244,567,3677
"Chattahoochee County, Georgia",11917,7977,2451,155,305,34,538,457,200,257
"Chattooga County, Georgia",25905,22024,2914,16,135,16,377,423,24,399
"Cherokee County, Georgia",215014,188736,12306,995,3573,46,5195,4163,628,3535
"Clarke County, Georgia",117762,77350,30810,109,4736,6,1966,2785,331,2454
"Clay County, Georgia",3174,1107,1999,0,0,0,0,68,46,22
"Clayton County, Georgia",262066,54981,171921,694,13415,180,14396,6479,699,5780
"Clinch County, Georgia",6800,4740,1940,20,0,0,0,100,14,86
"Cobb County, Georgia",691820,436938,173854,1648,31210,402,34366,13402,2276,11126
"Coffee County, Georgia",42566,27307,11642,83,253,0,3025,256,36,220
"Colquitt County, Georgia",45531,31150,10448,21,272,12,3374,254,3,251
"Columbia County, Georgia",124665,95752,19294,352,5294,90,1142,2741,425,2316
"Cook County, Georgia",17073,11531,4772,114,28,0,431,197,0,197
"Coweta County, Georgia",127212,98947,22602,63,1884,0,1554,2162,300,1862
"Crawford County, Georgia",12701,9308,2985,104,30,0,12,262,79,183
"Crisp County, Georgia",23460,12798,10224,48,221,0,57,112,9,103
"Dade County, Georgia",16598,15950,211,44,127,0,63,203,41,162
"Dawson County, Georgia",22246,20992,42,123,156,18,580,335,15,320
"Decatur County, Georgia",27815,14849,11582,104,87,0,1093,100,24,76
"DeKalb County, Georgia",694671,241091,378457,1947,35251,406,25605,11914,1447,10467
"Dodge County, Georgia",21509,14721,6452,28,34,0,112,162,0,162
"Dooly County, Georgia",14528,6568,7505,15,17,0,393,30,2,28
"Dougherty County, Georgia",94591,28204,63492,119,725,0,897,1154,109,1045
"Douglas County, Georgia",132124,73116,52129,529,2155,0,1984,2211,254,1957
"Early County, Georgia",10928,5215,5549,0,30,0,46,88,17,71
"Echols County, Georgia",4024,2958,85,0,19,0,956,6,0,6
"Effingham County, Georgia",52203,43229,7121,199,507,84,486,577,13,564
"Elbert County, Georgia",20103,13342,6083,40,33,0,507,98,0,98
"Emanuel County, Georgia",22600,13889,7606,97,25,0,763,220,24,196
"Evans County, Georgia",10935,6614,3158,33,54,0,968,108,5,103
"Fannin County, Georgia",23554,22761,138,201,30,18,145,261,97,164
"Fayette County, Georgia",106525,77040,21297,185,4286,98,933,2686,379,2307
"Floyd County, Georgia",96204,75976,13764,520,1270,54,3153,1467,215,1252
"Forsyth County, Georgia",177103,152592,4819,458,10986,0,5531,2717,394,2323
"Franklin County, Georgia",22070,19219,1931,29,129,5,497,260,34,226
"Fulton County, Georgia",929535,425949,410993,1896,52628,368,21259,16442,2066,14376
"Gilmer County, Georgia",28232,26348,121,69,20,0,1283,391,28,363
"Glascock County, Georgia",3082,2750,243,0,0,0,0,89,10,79
"Glynn County, Georgia",79628,53812,20399,140,978,75,2203,2021,479,1542
"Gordon County, Georgia",55192,46872,2334,229,557,0,4348,852,376,476
"Grady County, Georgia",25068,15532,7289,133,11,0,1775,328,0,328
"Greene County, Georgia",15988,9113,6115,26,24,0,498,212,8,204
"Gwinnett County, Georgia",810624,427961,189028,2523,86837,477,82432,21366,3677,17689
"Habersham County, Georgia",43038,38425,1776,116,925,0,1323,473,31,442
"Hall County, Georgia",180831,147797,13395,675,3248,41,12602,3073,812,2261
"Hancock County, Georgia",9422,2253,7044,6,20,0,77,22,21,1
"Haralson County, Georgia",28627,26369,1380,27,204,0,242,405,15,390
"Harris County, Georgia",31870,25308,5529,92,177,0,206,558,117,441
"Hart County, Georgia",25277,19765,5068,7,17,15,191,214,34,180
"Heard County, Georgia",11756,10175,1372,0,20,0,0,189,0,189
"Henry County, Georgia",203185,113445,73993,299,6313,293,3693,5149,626,4523
"Houston County, Georgia",140699,89223,40147,209,3329,94,3978,3719,304,3415
"Irwin County, Georgia",9646,6763,2794,10,0,0,42,37,0,37
"Jackson County, Georgia",60268,53254,4297,194,1005,84,725,709,154,555
"Jasper County, Georgia",13786,10129,2953,288,106,0,126,184,0,184
"Jeff Davis County, Georgia",14972,11812,2279,62,47,27,701,44,0,44
"Jefferson County, Georgia",16817,7017,9671,15,50,0,21,43,0,43
"Jenkins County, Georgia",8477,4987,3028,0,0,0,238,224,0,224
"Johnson County, Georgia",9981,6183,3519,8,158,0,48,65,7,58
"Jones County, Georgia",28638,20960,7187,0,215,0,150,126,43,83
"Lamar County, Georgia",18151,11927,5668,38,91,0,161,266,79,187
"Lanier County, Georgia",10066,6956,2398,0,228,0,315,169,52,117
"Laurens County, Georgia",48264,29711,17311,38,505,0,171,528,59,469
"Lee County, Georgia",28449,21884,5382,40,625,0,185,333,18,315
"Liberty County, Georgia",64663,30711,26948,224,1412,284,2765,2319,249,2070
"Lincoln County, Georgia",7962,5192,2595,28,27,0,0,120,0,120
"Long County, Georgia",14488,9659,3693,125,32,0,633,346,0,346
"Lowndes County, Georgia",109730,63482,39481,202,1619,28,2292,2626,713,1913
"Lumpkin County, Georgia",30040,28147,496,147,123,0,632,495,26,469
"McDuffie County, Georgia",21762,12564,8829,70,15,0,95,189,9,180
"McIntosh County, Georgia",14119,8569,5084,92,46,0,106,222,0,222
"Macon County, Georgia",14552,5239,8872,20,210,0,194,17,8,9
"Madison County, Georgia",27988,24544,2244,76,234,0,528,362,72,290
"Marion County, Georgia",8615,5203,2854,0,90,81,255,132,45,87
"Meriwether County, Georgia",21966,12810,8823,47,29,0,129,128,0,128
"Miller County, Georgia",6094,4216,1822,8,0,0,0,48,0,48
"Mitchell County, Georgia",23510,11478,11320,17,13,6,389,287,13,274
"Monroe County, Georgia",26376,19299,6300,23,242,0,263,249,68,181
"Montgomery County, Georgia",9054,6402,2440,0,27,0,145,40,0,40
"Morgan County, Georgia",17919,13039,4466,25,14,0,82,293,197,96
"Murray County, Georgia",39635,37118,450,64,129,9,1175,690,98,592
"Muscogee County, Georgia",191278,89502,86320,461,4364,299,3677,6655,1227,5428
"Newton County, Georgia",100047,55206,40145,355,1110,3,793,2435,178,2257
"Oconee County, Georgia",32814,29073,1802,6,1034,6,365,528,86,442
"Oglethorpe County, Georgia",14745,11563,2478,18,55,0,104,527,162,365
"Paulding County, Georgia",141846,112989,24257,431,1129,0,611,2429,564,1865
"Peach County, Georgia",27531,13115,12761,8,245,8,897,497,221,276
"Pickens County, Georgia",29445,28302,368,149,159,1,279,187,10,177
"Pierce County, Georgia",18631,16030,1687,39,69,0,571,235,22,213
"Pike County, Georgia",17765,15511,1913,55,75,0,30,181,0,181
"Polk County, Georgia",41350,33614,5353,50,327,32,1542,432,146,286
"Pulaski County, Georgia",11801,7794,3738,0,12,57,130,70,29,41
"Putnam County, Georgia",21184,14652,5732,0,46,0,597,157,18,139
"Quitman County, Georgia",2542,1176,1344,4,6,0,0,12,8,4
"Rabun County, Georgia",16297,15394,188,25,240,0,234,216,63,153
"Randolph County, Georgia",7596,2837,4424,1,49,0,17,268,21,247
"Richmond County, Georgia",200337,79801,109167,694,3352,103,2098,5122,619,4503
"Rockdale County, Georgia",85008,39185,38888,331,1657,0,3306,1641,289,1352
"Schley County, Georgia",4963,3250,1420,0,110,0,55,128,90,38
"Screven County, Georgia",14574,7909,6416,6,10,0,29,204,37,167
"Seminole County, Georgia",8815,5767,2944,0,47,0,0,57,10,47
"Spalding County, Georgia",63979,40646,21080,265,578,0,588,822,204,618
"Stephens County, Georgia",26003,22300,3037,81,238,10,106,231,0,231
"Stewart County, Georgia",5991,1713,3722,0,5,0,527,24,0,24
"Sumter County, Georgia",32425,14358,16805,10,439,0,384,429,58,371
"Talbot County, Georgia",6772,2626,4069,0,15,0,0,62,5,57
"Taliaferro County, Georgia",1674,692,930,0,7,0,11,34,18,16
"Tattnall County, Georgia",25023,16118,7139,71,107,0,1269,319,46,273
"Taylor County, Georgia",8700,5124,3481,0,5,0,61,29,0,29
"Telfair County, Georgia",16312,9704,6263,31,29,0,239,46,21,25
"Terrell County, Georgia",9365,3480,5698,7,38,0,34,108,0,108
"Thomas County, Georgia",44715,26565,16650,6,365,44,686,399,5,394
"Tift County, Georgia",40430,25186,11986,10,570,0,2314,364,17,347
"Toombs County, Georgia",27270,19068,6826,9,49,0,512,806,203,603
"Towns County, Georgia",10491,10116,128,25,22,0,126,74,68,6
"Treutlen County, Georgia",6851,4600,1958,0,56,0,10,227,0,227
"Troup County, Georgia",67146,41295,22712,90,1048,0,1109,892,133,759
"Turner County, Georgia",8834,5086,3642,0,37,0,33,36,2,34
"Twiggs County, Georgia",8984,4976,3823,15,0,6,118,46,0,46
"Union County, Georgia",21344,20639,261,0,173,8,165,98,0,98
"Upson County, Georgia",27061,18858,7560,41,179,0,204,219,13,206
"Walker County, Georgia",68463,63347,2987,273,191,0,492,1173,232,941
"Walton County, Georgia",83771,66919,12912,285,985,17,1181,1472,394,1078
"Ware County, Georgia",36099,24055,10758,105,335,12,555,279,14,265
"Warren County, Georgia",5788,2141,3511,0,89,0,0,47,0,47
"Washington County, Georgia",21092,9645,11197,0,45,0,50,155,3,152
"Wayne County, Georgia",30157,22711,6277,32,88,10,648,391,75,316
"Webster County, Georgia",2773,1574,1073,0,16,0,12,98,0,98
"Wheeler County, Georgia",7572,4465,3082,5,19,0,0,1,0,1
"White County, Georgia",27141,25926,616,115,41,30,177,236,0,236
"Whitfield County, Georgia",102152,87385,3843,355,881,0,6926,2762,599,2163
"Wilcox County, Georgia",9142,5531,3316,33,83,0,119,60,8,52
"Wilkes County, Georgia",10398,5468,4462,141,0,6,230,91,0,91
"Wilkinson County, Georgia",9577,5725,3747,9,1,0,59,36,0,36
"Worth County, Georgia",21746,15180,6169,18,73,0,49,257,36,221
"Hawaii County, Hawaii",185399,60661,1258,562,42542,22227,5590,52559,1551,51008
"Honolulu County, Hawaii",955215,201852,20222,2068,421053,89871,8943,211206,7316,203890
"Kalawao County, Hawaii",66,38,0,0,7,12,1,8,0,8
"Kauai County, Hawaii",67113,22252,340,196,23690,6536,372,13727,242,13485
"Maui County, Hawaii",154937,54276,579,253,40453,15227,1338,42811,1319,41492
"Ada County, Idaho",394961,363070,4057,2117,10244,704,4715,10054,898,9156
"Adams County, Idaho",3976,3780,0,81,4,11,2,98,0,98
"Bannock County, Idaho",82584,74742,587,2845,1025,220,1035,2130,167,1963
"Bear Lake County, Idaho",5977,5829,22,19,0,11,42,54,6,48
"Benewah County, Idaho",9247,7972,148,773,10,26,28,290,22,268
"Bingham County, Idaho",45312,40002,113,2530,294,32,1313,1028,107,921
"Blaine County, Idaho",21323,19030,8,369,56,187,1510,163,0,163
"Boise County, Idaho",7014,6785,32,92,23,20,0,62,0,62
"Bonner County, Idaho",40806,39289,127,335,239,31,85,700,39,661
"Bonneville County, Idaho",104177,95952,701,544,705,119,3803,2353,384,1969
"Boundary County, Idaho",10857,10238,0,235,71,21,64,228,0,228
"Butte County, Idaho",2828,2734,3,3,10,0,7,71,6,65
"Camas County, Idaho",1276,1141,6,27,0,0,64,38,0,38
"Canyon County, Idaho",189396,173340,582,1356,1548,209,5589,6772,1225,5547
"Caribou County, Idaho",6872,6569,7,1,33,0,143,119,0,119
"Cassia County, Idaho",22813,20616,111,139,91,0,1372,484,240,244
"Clark County, Idaho",780,746,0,34,0,0,0,0,0,0
"Clearwater County, Idaho",8679,8183,25,207,73,0,27,164,10,154
"Custer County, Idaho",4338,4262,0,0,2,12,0,62,0,62
"Elmore County, Idaho",26655,22359,774,337,542,74,1309,1260,219,1041
"Franklin County, Idaho",12739,12111,23,54,11,1,261,278,70,208
"Fremont County, Idaho",13123,12684,5,103,42,0,134,155,16,139
"Gem County, Idaho",16768,15906,2,53,198,35,318,256,49,207
"Gooding County, Idaho",15327,13326,2,254,72,0,1261,412,101,311
"Idaho County, Idaho",16215,15317,19,395,18,5,47,414,11,403
"Jefferson County, Idaho",25940,24761,47,187,42,19,519,365,28,337
"Jerome County, Idaho",22140,19598,35,418,6,0,1714,369,67,302
"Kootenai County, Idaho",139083,132247,283,1685,882,163,412,3411,211,3200
"Latah County, Idaho",37365,34735,251,185,702,31,238,1223,62,1161
"Lemhi County, Idaho",7892,7624,35,35,67,0,21,110,20,90
"Lewis County, Idaho",3818,3523,0,138,22,11,0,124,2,122
"Lincoln County, Idaho",5167,4418,30,74,29,0,558,58,18,40
"Madison County, Idaho",37311,35753,209,71,292,71,145,770,269,501
"Minidoka County, Idaho",19909,16976,50,155,42,7,2127,552,104,448
"Nez Perce County, Idaho",39226,35308,112,2051,344,152,167,1092,73,1019
"Oneida County, Idaho",4236,4094,0,27,0,0,7,108,0,108
"Owyhee County, Idaho",11479,10314,0,394,11,0,365,395,24,371
"Payette County, Idaho",22614,20991,15,248,106,7,514,733,154,579
"Power County, Idaho",7717,7124,20,118,1,32,341,81,78,3
"Shoshone County, Idaho",12797,12313,17,121,67,0,18,261,4,257
"Teton County, Idaho",10007,9625,0,6,160,0,208,8,0,8
"Twin Falls County, Idaho",77122,71124,362,522,892,2,2754,1466,307,1159
"Valley County, Idaho",9793,9502,1,10,14,0,43,223,37,186
"Washington County, Idaho",10144,9276,0,28,107,0,547,186,0,186
"Adams County, Illinois",67098,62707,2418,72,505,0,448,948,91,857
"Alexander County, Illinois",8147,5012,2833,24,28,0,12,238,38,200
"Bond County, Illinois",17762,16286,518,6,253,0,11,688,14,674
"Boone County, Illinois",54141,48923,1186,87,802,0,2185,958,413,545
"Brown County, Illinois",6913,5570,994,20,36,0,13,280,10,270
"Bureau County, Illinois",34798,33564,221,116,259,4,344,290,57,233
"Calhoun County, Illinois",5065,4988,4,0,14,0,0,59,0,59
"Carroll County, Illinois",15338,14775,75,18,58,8,106,298,77,221
"Cass County, Illinois",13570,11936,423,6,0,3,1017,185,63,122
"Champaign County, Illinois",200931,150215,25348,377,18399,15,2064,4513,431,4082
"Christian County, Illinois",34805,33554,501,59,190,10,170,321,7,314
"Clark County, Illinois",16353,16059,64,15,55,8,26,126,16,110
"Clay County, Illinois",13828,13459,86,64,62,0,28,129,0,129
"Clinton County, Illinois",37793,35628,1309,71,181,0,126,478,43,435
"Coles County, Illinois",53683,50030,2024,41,493,17,140,938,81,857
"Cook County, Illinois",5197677,2934297,1284262,12224,328072,1241,539082,98499,27455,71044
"Crawford County, Illinois",19777,18405,574,121,91,0,90,496,64,432
"Cumberland County, Illinois",11044,10846,56,9,81,6,3,43,21,22
"DeKalb County, Illinois",104820,88160,6526,191,2505,28,5094,2316,596,1720
"De Witt County, Illinois",16562,16099,217,4,12,7,123,100,0,100
"Douglas County, Illinois",19908,19081,82,34,159,0,340,212,105,107
"DuPage County, Illinois",918608,738739,41842,1429,93861,293,23981,18463,4087,14376
"Edgar County, Illinois",18513,18169,73,7,122,0,27,115,14,101
"Edwards County, Illinois",6691,6523,63,0,23,0,0,82,0,82
"Effingham County, Illinois",34258,33428,87,23,123,0,309,288,25,263
"Fayette County, Illinois",22082,20711,397,15,276,15,83,585,51,534
"Ford County, Illinois",14045,13705,75,25,28,0,57,155,13,142
"Franklin County, Illinois",39518,38646,69,46,160,0,76,521,19,502
"Fulton County, Illinois",36989,34996,1268,44,37,19,146,479,25,454
"Gallatin County, Illinois",5592,5430,23,21,12,0,12,94,0,94
"Greene County, Illinois",13828,13196,177,0,22,39,79,315,29,286
"Grundy County, Illinois",49870,47587,539,36,199,0,742,767,60,707
"Hamilton County, Illinois",8430,8312,32,26,0,0,30,30,0,30
"Hancock County, Illinois",19063,18635,60,80,56,1,27,204,43,161
"Hardin County, Illinois",4315,4137,34,9,49,0,0,86,0,86
"Henderson County, Illinois",7275,7038,21,6,25,17,98,70,21,49
