Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Shasta County, California",177693,155637,1633,4116,4720,319,3619,7649,860,6789
"Sierra County, California",3163,2949,36,10,4,18,133,13,6,7
"Siskiyou County, California",44673,38804,555,1235,601,168,500,2810,184,2626
"Solano County, California",414209,218264,58858,2186,61211,3642,40287,29761,6287,23474
"Sonoma County, California",483456,391986,7739,5785,19747,1497,39827,16875,3469,13406
"Stanislaus County, California",515115,398065,14493,5044,26609,3748,44810,22346,6167,16179
"Sutter County, California",94615,63070,1667,1362,13240,280,9315,5681,1120,4561
"Tehama County, California",63200,54624,376,1518,704,57,3272,2649,852,1797
"Trinity County, California",13693,12130,119,185,168,37,131,923,13,910
"Tulare County, California",441877,351770,7163,5545,14715,437,46744,15503,4969,10534
"Tuolumne County, California",55205,48178,1131,913,609,64,2157,2153,504,1649
"Ventura County, California",822794,600242,14795,8733,57239,1360,107010,33415,9946,23469
"Yolo County, California",200873,134265,5054,2417,25873,1171,20694,11399,2637,8762
"Yuba County, California",72244,50907,2003,1085,5104,263,7561,5321,1367,3954
"Adams County, Colorado",442996,351099,14084,4751,15792,546,40122,16602,5241,11361
"Alamosa County, Colorado",15750,12652,115,182,152,14,1409,1226,210,1016
"Arapahoe County, Colorado",574357,432797,57554,4743,28224,1174,26112,23753,5473,18280
"Archuleta County, Colorado",12109,10827,58,85,117,9,464,549,238,311
"Baca County, Colorado",3783,3580,16,33,30,2,44,78,29,49
"Bent County, Colorado",6192,4985,525,169,85,0,287,141,43,98
"Boulder County, Colorado",297218,260736,2667,1170,11927,122,12448,8148,907,7241
"Broomfield County, Colorado",55913,48998,446,144,2881,14,1032,2398,192,2206
"Chaffee County, Colorado",17879,16799,500,140,60,0,260,120,41,79
"Cheyenne County, Colorado",2095,2056,5,5,11,0,4,14,0,14
"Clear Creek County, Colorado",9059,8566,33,58,45,0,154,203,0,203
"Conejos County, Colorado",8241,6857,6,71,13,0,463,831,54,777
"Costilla County, Colorado",3556,2922,12,23,23,0,162,414,5,409
"Crowley County, Colorado",5747,4777,441,94,45,14,261,115,24,91
"Custer County, Colorado",4208,4107,38,10,14,0,17,22,0,22
"Delta County, Colorado",30710,28977,306,194,174,0,647,412,62,350
"Denver County, Colorado",604356,444522,61274,7162,20729,732,50672,19265,4459,14806
"Dolores County, Colorado",1806,1745,0,19,4,2,0,36,0,36
"Douglas County, Colorado",286883,261685,3202,790,11183,92,2728,7203,851,6352
"Eagle County, Colorado",51850,46717,156,228,559,0,3268,922,39,883
"Elbert County, Colorado",23058,21930,73,163,163,3,159,567,115,452
"El Paso County, Colorado",622816,508314,37927,4847,16102,1808,21592,32226,4013,28213
"Fremont County, Colorado",47006,39965,2791,904,495,59,1938,854,185,669
"Garfield County, Colorado",56330,50756,630,287,323,107,3246,981,200,781
"Gilpin County, Colorado",5358,4983,44,17,21,0,120,173,58,115
"Grand County, Colorado",14608,13722,87,66,128,12,442,151,11,140
"Gunnison County, Colorado",15385,14660,121,59,113,0,232,200,0,200
"Hinsdale County, Colorado",790,783,0,0,0,0,0,7,0,7
"Huerfano County, Colorado",6730,4700,137,426,50,0,486,931,37,894
"Jackson County, Colorado",1397,1351,4,10,6,0,15,11,3,8
"Jefferson County, Colorado",536095,484284,5837,4040,13889,251,14133,13661,2728,10933
"Kiowa County, Colorado",1393,1366,2,2,11,0,0,12,1,11
"Kit Carson County, Colorado",8210,7668,259,65,25,7,105,81,2,79
"Lake County, Colorado",7372,5804,75,176,55,10,1075,177,41,136
"La Plata County, Colorado",51443,44963,246,3240,364,39,1539,1052,270,782
"Larimer County, Colorado",300870,274662,2504,1719,5507,340,7522,8616,1720,6896
"Las Animas County, Colorado",15385,13203,175,325,79,37,1037,529,193,336
"Lincoln County, Colorado",5443,4657,499,119,9,19,64,76,0,76
"Logan County, Colorado",22541,21164,327,64,143,6,394,443,211,232
"Mesa County, Colorado",146562,132245,956,1584,970,159,6686,3962,924,3038
"Mineral County, Colorado",702,680,9,5,1,0,6,1,0,1
"Moffat County, Colorado",13547,12550,47,287,111,14,340,198,43,155
"Montezuma County, Colorado",25424,21409,26,2841,151,0,301,696,87,609
"Montrose County, Colorado",40994,37310,260,308,227,49,1552,1288,261,1027
"Morgan County, Colorado",28200,25478,728,175,44,19,1187,569,206,363
"Otero County, Colorado",18791,16837,76,597,82,0,825,374,129,245
"Ouray County, Colorado",4445,4342,0,13,26,0,0,64,0,64
"Park County, Colorado",16168,15566,5,91,137,24,13,332,0,332
"Phillips County, Colorado",4380,4180,16,18,19,0,81,66,20,46
"Pitkin County, Colorado",17000,16226,94,130,203,2,172,173,21,152
"Prowers County, Colorado",12539,11707,38,72,52,0,379,291,130,161
"Pueblo County, Colorado",159072,130563,3148,3020,1035,134,14625,6547,2518,4029
